run,monitor,overall_auc,det_rate,fa_rate,mean_lead_all,median_delay,det[goal_drift],det[looping],det[tool_cascade],det[context_corruption],fit_seconds,score_seconds,peak_memory_mb
"Baseline (hash-embed, 43d)","esn_cusum_max[e,m]",0.8084388185654008,0.620253164556962,0.13333333333333333,1.4050632911392404,1.0,0.5909090909090909,1.0,0.7777777777777778,0.19047619047619047,0.497,0.148,5.52
"Baseline (hash-embed, 43d)",esn_cusum[e],0.7012658227848102,0.46835443037974683,0.0,0.7215189873417721,2.0,0.5,0.7222222222222222,0.6666666666666666,0.047619047619047616,0.318,0.073,5.47
"Baseline (hash-embed, 43d)",self_drift,0.4168776371308017,0.012658227848101266,0.0,0.0,6.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.004,0.02
"Baseline (hash-embed, 43d)",linear_ar,0.7527426160337553,0.5949367088607594,0.2,1.5696202531645569,1.0,0.6363636363636364,0.9444444444444444,0.7777777777777778,0.09523809523809523,0.024,0.009,0.51
"Baseline (hash-embed, 43d)",gru,0.7637130801687765,0.569620253164557,0.0,1.3924050632911393,2.0,0.5909090909090909,0.8888888888888888,0.7777777777777778,0.09523809523809523,1.909,0.062,0.57
"Baseline (hash-embed, 43d)",lstm,0.7523206751054852,0.6835443037974683,0.26666666666666666,1.6455696202531647,1.0,0.7272727272727273,1.0,0.8333333333333334,0.23809523809523808,1.803,0.102,0.11
"Baseline (hash-embed, 43d)",delta_mahalanobis,0.729957805907173,0.5063291139240507,0.2,0.7468354430379747,1.5,0.3181818181818182,0.8888888888888888,0.8333333333333334,0.09523809523809523,0.003,0.008,0.76
"Baseline (hash-embed, 43d)",mahalanobis,0.6725738396624473,0.5569620253164557,0.2,0.6962025316455697,2.0,0.36363636363636365,0.8888888888888888,0.8888888888888888,0.19047619047619047,0.001,0.005,0.3
"Baseline (hash-embed, 43d)",iforest,0.6447257383966245,0.27848101265822783,0.13333333333333333,0.0,3.0,0.13636363636363635,0.6111111111111112,0.3333333333333333,0.09523809523809523,0.667,1.819,1.39
Run A: MiniLM (43d),"esn_cusum_max[e,m]",0.8160337552742616,0.5949367088607594,0.06666666666666667,1.3417721518987342,1.0,0.5454545454545454,0.9444444444444444,0.7777777777777778,0.19047619047619047,0.491,0.146,5.52
Run A: MiniLM (43d),esn_cusum[e],0.6835443037974683,0.45569620253164556,0.2,0.6582278481012658,2.0,0.36363636363636365,0.7222222222222222,0.6666666666666666,0.14285714285714285,0.307,0.072,5.47
Run A: MiniLM (43d),self_drift,0.42869198312236295,0.05063291139240506,0.06666666666666667,0.1518987341772152,1.0,0.045454545454545456,0.0,0.05555555555555555,0.09523809523809523,0.0,0.004,0.02
Run A: MiniLM (43d),linear_ar,0.8008438818565401,0.7468354430379747,0.4,1.7468354430379747,1.0,0.8181818181818182,1.0,0.8333333333333334,0.38095238095238093,0.03,0.009,0.51
Run A: MiniLM (43d),gru,0.8016877637130801,0.7215189873417721,0.3333333333333333,1.620253164556962,1.0,0.8181818181818182,1.0,0.8888888888888888,0.23809523809523808,1.745,0.056,0.11
Run A: MiniLM (43d),lstm,0.8025316455696203,0.7215189873417721,0.3333333333333333,1.759493670886076,1.0,0.7727272727272727,1.0,0.8333333333333334,0.3333333333333333,1.737,0.087,0.11
Run A: MiniLM (43d),delta_mahalanobis,0.7029535864978902,0.5316455696202531,0.13333333333333333,0.6582278481012658,1.0,0.36363636363636365,0.8333333333333334,0.8333333333333334,0.19047619047619047,0.003,0.008,0.76
Run A: MiniLM (43d),mahalanobis,0.7071729957805907,0.5443037974683544,0.13333333333333333,0.6075949367088608,1.0,0.36363636363636365,0.8888888888888888,0.8333333333333334,0.19047619047619047,0.001,0.005,0.3
Run A: MiniLM (43d),iforest,0.6236286919831223,0.6835443037974683,0.5333333333333333,0.0379746835443038,3.0,0.5454545454545454,1.0,0.7777777777777778,0.47619047619047616,0.629,1.69,1.4
Run B: Hash + result_task_sim + json_validity + result_self_sim + PMI (55d),"esn_cusum_max[e,m]",0.8084388185654008,0.620253164556962,0.13333333333333333,1.4050632911392404,1.0,0.5909090909090909,1.0,0.7777777777777778,0.19047619047619047,0.529,0.141,5.52
Run B: Hash + result_task_sim + json_validity + result_self_sim + PMI (55d),"esn_cusum_max[e,m,x]",0.8042194092827004,0.620253164556962,0.13333333333333333,1.5822784810126582,1.0,0.5909090909090909,1.0,0.7777777777777778,0.19047619047619047,0.952,0.205,6.65
Run B: Hash + result_task_sim + json_validity + result_self_sim + PMI (55d),esn_cusum[x],0.8084388185654009,0.5569620253164557,0.0,1.3417721518987342,1.0,0.5454545454545454,0.9444444444444444,0.7777777777777778,0.047619047619047616,0.277,0.063,4.0
Run B: Hash + result_task_sim + json_validity + result_self_sim + PMI (55d),delta_mahalanobis,0.7645569620253165,0.569620253164557,0.2,1.3417721518987342,1.0,0.4090909090909091,1.0,0.8888888888888888,0.09523809523809523,0.005,0.007,1.01
