stream,calibrator,bin_center,mean_confidence,empirical_freq,count
fused,isotonic,0.05,0.0,0.0,1
fused,isotonic,0.15,0.13669046773354296,0.0,1
fused,isotonic,0.35,0.3501598260282818,0.3598326359832636,239
fused,isotonic,0.45,0.46489758980138585,0.5,2
fused,isotonic,0.65,0.662496326479051,0.9,10
fused,isotonic,0.95,0.9954397394136808,0.990228013029316,307
surprise,isotonic,0.35,0.35413644227078117,0.3671497584541063,207
surprise,isotonic,0.45,0.4595956736647152,0.4444444444444444,36
surprise,isotonic,0.55,0.507812124693959,0.625,8
surprise,isotonic,0.95,0.994760363692403,0.9805825242718447,309
disagreement,isotonic,0.45,0.4285902644955535,0.45622119815668205,217
disagreement,isotonic,0.55,0.5132676785184503,0.35294117647058826,17
disagreement,isotonic,0.65,0.6701382268510722,0.6029411764705882,68
disagreement,isotonic,0.75,0.777777777777778,0.8823529411764706,17
disagreement,isotonic,0.95,0.9848406068027045,0.991701244813278,241
