monitor,theta,detection_rate,healthy_fa_rate,early_alarm_rate,median_delay,median_delay_ci_lo,median_delay_ci_hi,median_lead,median_lead_ci_lo,median_lead_ci_hi,mean_lead_all,mean_lead_all_ci_lo,mean_lead_all_ci_hi,mean_budget_saved,mean_budget_saved_all,episode_auc
esn_full,6.658502397267016,0.4775,0.025,0.015,4.0,3.0,4.0,9.0,9.0,10.0,4.3175,3.8099375,4.8025,0.2658707066410872,0.12695326242111918,0.8110624999999999
esn_single,6.375980822036392,0.4375,0.025,0.02,3.0,3.0,4.0,10.0,9.0,10.0,4.1625,3.6474375,4.667875,0.280142965898459,0.12256254758057583,0.7888593749999999
esn[e],3.8592098404768946,0.58,0.0375,0.0125,3.0,3.0,4.0,11.0,10.0,11.0,6.1925,5.6398125,6.727625,0.3076002106565181,0.1784081221807805,0.79821875
esn[u],5.2255868848652725,0.3075,0.03125,0.0225,6.0,5.0,7.0,7.0,6.0,7.0,2.06,1.717375,2.435,0.20144424428343077,0.06194410511715495,0.65528125
esn[m],14.039263445381007,0.2375,0.075,0.0275,3.0,3.0,4.0,10.0,9.0,11.0,2.3775,1.9575,2.8375624999999998,0.29126208940975906,0.06917474623481779,0.66215625
"esn[e,u]",3.4587572643475637,0.595,0.05,0.0125,3.0,3.0,4.0,11.0,10.0,11.0,6.27,5.7048125,6.817749999999999,0.3038631553671621,0.18079857744346137,0.85709375
esn_cusum,27.378096814187305,0.625,0.0375,0.015,4.0,4.0,5.0,9.0,9.0,10.0,5.765,5.2374374999999995,6.2901875,0.2657288461078729,0.16608052881742055,0.8454999999999999
esn_cusum[e],25.376309359948966,0.5925,0.03125,0.005,4.0,4.0,5.0,9.0,9.0,10.0,5.635,5.102250000000001,6.11,0.27310961574558673,0.16181744732926012,0.7906875
esn_cusum[u],29.99376989024285,0.35,0.025,0.01,8.0,6.0,8.0,6.0,5.0,7.0,2.1475,1.8223125000000002,2.4800625,0.17929384714108118,0.06275284649937841,0.6552499999999999
esn_cusum[m],61.302054551718186,0.3775,0.03125,0.01,7.0,6.0,8.0,7.0,6.0,8.0,2.5,2.0825,2.9226249999999996,0.19106173427932618,0.07212580469044562,0.7015625000000001
"esn_cusum[e,u]",22.575825177102274,0.6275,0.03125,0.005,4.0,4.0,5.0,10.0,9.0,10.0,5.7625,5.2325,6.2550625,0.2649201459183066,0.16623739156373737,0.86275
esn_cusum_max,54.41686984963026,0.725,0.04375,0.01,8.0,7.0,8.0,6.0,6.0,7.0,4.65,4.2499375,5.0825625,0.18482057593280793,0.13399491755128573,0.8764062499999999
linear_ar,32.17459157931371,0.61,0.025,0.0075,4.0,4.0,4.5,10.0,9.0,10.0,5.86,5.3423750000000005,6.355,0.2766877197672858,0.16877950905804429,0.8052968749999999
gru,24.281346388131183,0.5925,0.04375,0.015,5.0,5.0,6.0,9.0,8.0,9.0,4.985,4.485,5.4675625000000005,0.24394029740314807,0.14453462621136526,0.81878125
tcn,40.806128216811054,0.355,0.04375,0.0075,6.0,5.0,8.0,7.0,6.0,8.0,2.4275,2.0373750000000004,2.85,0.20084637295385122,0.07130046239861716,0.720140625
lstm,28.92364372671391,0.575,0.0375,0.0125,6.0,5.0,6.0,8.0,7.0,9.0,4.6625,4.1675,5.127625,0.2341113109633426,0.13461400380392197,0.804640625
cosine_drift,1.2015881813208267,0.06,0.025,0.0075,7.0,6.0,10.5,7.0,4.0,8.0,0.385,0.21993750000000006,0.5750624999999999,0.17203428724497127,0.010322057234698277,0.495703125
self_drift,0.7498526770544384,0.1775,0.0625,0.01,6.0,5.0,7.0,7.0,6.0,9.0,1.31,1.004875,1.68,0.2025290075665579,0.03594889884306403,0.562546875
rolling_surprisal,2.433862166771138,0.025,0.1375,0.1025,7.0,5.0,8.0,5.5,4.475000000000023,8.0,0.15,0.0575,0.26,0.17467114138727796,0.004366778534681949,0.506421875
mahalanobis,14.007348162900046,0.24,0.08125,0.03,3.0,3.0,4.0,10.0,9.0,10.5,2.335,1.91,2.775,0.2900998881727872,0.06962397316146891,0.6963281250000001
delta_mahalanobis,15.893543495152137,0.365,0.0625,0.04,3.0,3.0,4.0,10.0,9.0,11.0,3.525,3.0125,4.0600625,0.28766728351782356,0.1049985584840056,0.756734375
iforest,0.010839280945263652,0.12,0.0875,0.04,6.5,6.0,8.0,6.0,3.0,7.5,0.685,0.4874375,0.915,0.17287555798387136,0.020745066958064565,0.631296875
