monitor,quantile,theta,healthy_fa_rate,detection_rate,median_delay,median_lead
esn_full,0.5,1.9289213684179474,0.43125,0.5425,3.0,11.0
esn_full,0.5207916666666667,1.9691638672459773,0.41875,0.5425,3.0,11.0
esn_full,0.5415833333333333,2.0542273696520827,0.3875,0.5475,3.0,11.0
esn_full,0.562375,2.1455156501739294,0.38125,0.5525,3.0,12.0
esn_full,0.5831666666666666,2.208794438372724,0.36875,0.5575,3.0,11.0
esn_full,0.6039583333333334,2.2711510250150413,0.36875,0.5575,3.0,11.0
esn_full,0.62475,2.3889155032648697,0.3375,0.56,3.0,11.0
esn_full,0.6455416666666667,2.403400718324143,0.33125,0.5575,3.0,11.0
esn_full,0.6663333333333333,2.585303798591215,0.31875,0.555,3.0,11.0
esn_full,0.687125,2.8064295938739403,0.2875,0.5625,3.0,11.0
esn_full,0.7079166666666666,2.9354515930066722,0.28125,0.5625,3.0,11.0
esn_full,0.7287083333333333,3.0040167189260476,0.28125,0.5575,3.0,11.0
esn_full,0.7495,3.823543641128944,0.26875,0.565,3.0,11.0
esn_full,0.7702916666666666,6.102884321377059,0.25,0.475,4.0,9.5
esn_full,0.7910833333333334,6.279235440200524,0.2375,0.4575,4.0,10.0
esn_full,0.811875,6.452069261008985,0.21875,0.46,4.0,9.0
esn_full,0.8326666666666667,6.703573775988264,0.19375,0.4575,4.0,9.0
esn_full,0.8534583333333333,6.8390949011342315,0.175,0.4325,4.0,9.0
esn_full,0.87425,7.011367131906689,0.1375,0.435,4.0,9.0
esn_full,0.8950416666666667,7.191086236613812,0.1,0.4075,4.0,10.0
esn_full,0.9158333333333333,7.310026057920135,0.1,0.4,4.0,10.0
esn_full,0.936625,7.64295507143186,0.075,0.3875,4.0,9.0
esn_full,0.9574166666666667,7.7002995283784115,0.075,0.3825,4.0,9.0
esn_full,0.9782083333333333,8.354365060859958,0.01875,0.3325,4.0,9.0
esn_full,0.999,8.565322298142645,0.0125,0.3175,4.0,9.0
esn_single,0.5,1.7615697820359684,0.525,0.48,3.0,12.0
esn_single,0.5207916666666667,1.8303248225771802,0.475,0.495,3.0,12.0
esn_single,0.5415833333333333,1.9079016027682327,0.43125,0.5,3.0,12.0
esn_single,0.562375,1.9239422442383185,0.43125,0.5025,3.0,12.0
esn_single,0.5831666666666666,2.0154946342897087,0.39375,0.525,3.0,12.0
esn_single,0.6039583333333334,2.0865510962363327,0.36875,0.5275,3.0,12.0
esn_single,0.62475,2.1706187077605694,0.3625,0.5325,3.0,11.0
esn_single,0.6455416666666667,2.269548284422274,0.35,0.5225,3.0,11.0
esn_single,0.6663333333333333,2.3951053720019075,0.325,0.535,3.0,11.0
esn_single,0.687125,2.536585009165053,0.3125,0.5375,3.0,11.0
esn_single,0.7079166666666666,2.9043463719425895,0.2875,0.5475,3.0,11.0
esn_single,0.7287083333333333,3.0005386531694573,0.2875,0.5425,3.0,11.0
esn_single,0.7495,3.7797022196033447,0.26875,0.545,3.0,10.0
esn_single,0.7702916666666666,5.500707348640998,0.25625,0.4575,4.0,10.0
esn_single,0.7910833333333334,5.923967491901161,0.24375,0.425,4.0,10.0
esn_single,0.811875,6.001543725822596,0.2375,0.425,4.0,10.0
esn_single,0.8326666666666667,6.278460721318035,0.225,0.405,4.0,10.0
esn_single,0.8534583333333333,6.364044647425144,0.20625,0.4125,4.0,10.0
esn_single,0.87425,6.714917534323796,0.14375,0.3875,4.0,10.0
esn_single,0.8950416666666667,6.857914536034305,0.125,0.38,4.0,10.0
esn_single,0.9158333333333333,6.917637886322521,0.11875,0.3775,4.0,10.0
esn_single,0.936625,7.025457450982344,0.08125,0.36,4.0,10.0
esn_single,0.9574166666666667,7.104147962698572,0.06875,0.3575,4.0,10.0
esn_single,0.9782083333333333,7.867216134951208,0.01875,0.335,4.0,9.5
esn_single,0.999,8.187474689554584,0.0125,0.325,4.0,10.0
esn[e],0.5,1.6291487322727978,0.55625,0.41,3.0,12.0
esn[e],0.5207916666666667,1.661858297971278,0.53125,0.4175,3.0,12.0
esn[e],0.5415833333333333,1.705651748780026,0.5125,0.4225,3.0,12.0
esn[e],0.562375,1.7418117464666392,0.49375,0.4325,3.0,12.0
esn[e],0.5831666666666666,1.8433595163997154,0.41875,0.4675,3.0,12.0
esn[e],0.6039583333333334,1.8831111569064132,0.4,0.47,3.0,12.0
esn[e],0.62475,1.9873206804231376,0.34375,0.4875,3.0,12.0
esn[e],0.6455416666666667,2.04895377044583,0.30625,0.4975,3.0,12.0
esn[e],0.6663333333333333,2.089195513166578,0.28125,0.505,3.0,12.0
esn[e],0.687125,2.1033386824378617,0.28125,0.5075,3.0,12.0
esn[e],0.7079166666666666,2.147467496892889,0.25,0.5175,3.0,12.0
esn[e],0.7287083333333333,2.2314443067510528,0.23125,0.5225,3.0,12.0
esn[e],0.7495,2.259757582395733,0.2125,0.53,3.0,12.0
esn[e],0.7702916666666666,2.286131928323758,0.19375,0.5325,3.0,12.0
esn[e],0.7910833333333334,2.4184354845346583,0.14375,0.545,3.0,12.0
esn[e],0.811875,2.4765590679792595,0.125,0.5475,3.0,12.0
esn[e],0.8326666666666667,2.5299666228454827,0.11875,0.5525,3.0,12.0
esn[e],0.8534583333333333,2.7408748802663867,0.0875,0.555,3.0,12.0
esn[e],0.87425,2.8374762373475226,0.075,0.5625,3.0,12.0
esn[e],0.8950416666666667,2.993483776768022,0.075,0.5625,3.0,12.0
esn[e],0.9158333333333333,3.074049405809509,0.06875,0.565,3.0,12.0
esn[e],0.936625,3.4027745244448733,0.04375,0.575,3.0,11.0
esn[e],0.9574166666666667,3.5094847180481388,0.0375,0.575,3.0,11.0
esn[e],0.9782083333333333,3.910975272530603,0.01875,0.58,4.0,11.0
esn[e],0.999,4.813760590239821,0.00625,0.56,4.0,10.0
esn[u],0.5,1.9232689647395,0.51875,0.3825,4.0,10.0
esn[u],0.5207916666666667,1.945040290830002,0.5,0.3875,4.0,10.0
esn[u],0.5415833333333333,1.995690667579054,0.4875,0.39,4.0,10.0
esn[u],0.562375,2.0608278456784865,0.4625,0.395,3.5,10.0
esn[u],0.5831666666666666,2.2002324172055903,0.4375,0.4025,4.0,10.0
esn[u],0.6039583333333334,2.292408773477505,0.3875,0.405,4.0,10.0
esn[u],0.62475,2.3753310013425453,0.38125,0.405,4.0,10.0
esn[u],0.6455416666666667,2.4436541841233277,0.35625,0.3975,4.0,10.0
esn[u],0.6663333333333333,2.5468966632758696,0.33125,0.4075,4.0,9.0
esn[u],0.687125,2.570639934486288,0.31875,0.4075,4.0,9.0
esn[u],0.7079166666666666,2.622264367276451,0.3,0.405,4.0,9.0
esn[u],0.7287083333333333,2.6407995284962578,0.3,0.4025,4.0,9.0
esn[u],0.7495,2.771941072266769,0.26875,0.405,4.0,9.0
esn[u],0.7702916666666666,2.8018169821511756,0.26875,0.4075,4.0,9.0
esn[u],0.7910833333333334,2.891496918255643,0.26875,0.41,5.0,9.0
esn[u],0.811875,2.9579687426059067,0.25,0.41,5.0,9.0
esn[u],0.8326666666666667,3.0475048399497817,0.225,0.4025,5.0,9.0
esn[u],0.8534583333333333,3.2730694425260314,0.1875,0.3825,5.0,8.0
esn[u],0.87425,3.40525242843192,0.18125,0.3775,5.0,8.0
esn[u],0.8950416666666667,3.5274041055328564,0.15625,0.375,5.0,8.0
esn[u],0.9158333333333333,3.6699393911137945,0.14375,0.3675,6.0,8.0
esn[u],0.936625,3.9578267917139396,0.09375,0.3575,6.0,8.0
esn[u],0.9574166666666667,4.545556056149405,0.04375,0.345,6.0,7.0
esn[u],0.9782083333333333,5.364939601944816,0.00625,0.32,7.0,6.0
esn[u],0.999,6.731552381333752,0.00625,0.2375,8.0,5.0
esn[m],0.5,1.7361351381674288,0.45,0.46,3.0,11.0
