dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
real_research7b_long_drift,real-goal_drift-000,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-001,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-002,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-003,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-004,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-005,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-006,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-007,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-008,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-009,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-010,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-011,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-012,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-013,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-014,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-015,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-016,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-017,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-018,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-019,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-020,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-021,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-022,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-023,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-024,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-025,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-026,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-027,goal_drift,11,2,8,False,False,False
