param,value,is_default,detection_rate,mean_lead_all,healthy_fa_rate,episode_auc
reservoir_size,32.0,False,0.695,4.6225,0.1,0.8472187500000001
reservoir_size,64.0,False,0.6825,4.1725,0.0875,0.839421875
reservoir_size,128.0,True,0.6925,4.3175,0.06875,0.847328125
reservoir_size,256.0,False,0.7025,4.3825,0.075,0.8533906250000001
spectral_radius,0.6,False,0.7175,4.44,0.06875,0.851140625
spectral_radius,0.8,False,0.7,4.34,0.06875,0.850265625
spectral_radius,0.9,True,0.6925,4.3175,0.06875,0.847328125
spectral_radius,0.95,False,0.6825,4.3025,0.075,0.845
spectral_radius,1.05,False,0.67,4.3225,0.075,0.843328125
leak_rate,0.15,False,0.6525,3.9525,0.0625,0.8461093749999999
leak_rate,0.3,True,0.6925,4.3175,0.06875,0.847328125
leak_rate,0.5,False,0.6775,4.2475,0.0875,0.8445937499999998
leak_rate,0.7,False,0.615,4.115,0.0875,0.835671875
K,1.0,False,0.56,3.98,0.0875,0.8238281249999999
K,2.0,False,0.6225,4.1975,0.0875,0.827015625
K,4.0,False,0.665,4.2675,0.075,0.84546875
K,8.0,True,0.6925,4.3175,0.06875,0.847328125
K,16.0,False,0.6975,4.18,0.06875,0.853
cusum_k,0.25,False,0.695,4.275,0.075,0.8493125
cusum_k,0.5,True,0.6925,4.3175,0.06875,0.847328125
cusum_k,0.75,False,0.685,4.315,0.09375,0.844125
cusum_k,1.0,False,0.66,4.1725,0.1,0.840671875
beta_disagreement,0.0,False,0.57,4.2325,0.1,0.8255937500000001
beta_disagreement,0.25,False,0.635,4.2725,0.0875,0.8382500000000002
beta_disagreement,0.5,True,0.6925,4.3175,0.06875,0.847328125
beta_disagreement,1.0,False,0.7225,4.2825,0.06875,0.8635781250000001
beta_disagreement,2.0,False,0.7,3.8825,0.05,0.87159375
