dataset,episode_id,label,kind,n_withheld,T,verifier_flagged,n_ungrounded
organic_demo7b_ext,organic-demo-000,incomplete,,0,9,False,0
organic_demo7b_ext,organic-demo-001,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-002,hallucinated,nonderivable_total,0,9,True,1
organic_demo7b_ext,organic-demo-003,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-004,arithmetic_error,,0,12,True,1
organic_demo7b_ext,organic-demo-005,arithmetic_error,,0,12,True,1
organic_demo7b_ext,organic-demo-006,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-007,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-008,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-009,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-010,incomplete,,0,9,False,0
organic_demo7b_ext,organic-demo-011,other,,0,9,False,0
organic_demo7b_ext,organic-demo-012,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-013,arithmetic_error,,0,11,False,0
organic_demo7b_ext,organic-demo-014,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-015,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-016,arithmetic_error,,0,11,False,0
organic_demo7b_ext,organic-demo-017,arithmetic_error,,0,11,True,1
organic_demo7b_ext,organic-demo-018,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-019,arithmetic_error,,0,12,False,0
organic_demo7b_ext,organic-demo-020,arithmetic_error,,0,8,False,0
organic_demo7b_ext,organic-demo-021,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-022,other,,0,7,False,0
organic_demo7b_ext,organic-demo-023,other,,0,6,False,0
organic_demo7b_ext,organic-demo-024,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-025,incomplete,,0,9,False,0
organic_demo7b_ext,organic-demo-026,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-027,healthy,,0,13,False,0
organic_demo7b_ext,organic-demo-028,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-029,other,,0,7,False,0
organic_demo7b_ext,organic-demo-030,other,,0,6,False,0
organic_demo7b_ext,organic-demo-031,arithmetic_error,,0,12,True,1
organic_demo7b_ext,organic-demo-032,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-033,arithmetic_error,,0,13,False,0
organic_demo7b_ext,organic-demo-034,arithmetic_error,,0,12,False,0
organic_demo7b_ext,organic-demo-035,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-036,healthy,,0,13,False,0
organic_demo7b_ext,organic-demo-037,incomplete,,0,9,False,0
organic_demo7b_ext,organic-demo-038,healthy,,0,12,False,0
organic_demo7b_ext,organic-demo-039,other,,0,7,False,0
organic_demo7b_ext,organic-demo-040,arithmetic_error,,0,9,False,0
organic_demo7b_ext,organic-demo-041,arithmetic_error,,0,12,False,0
organic_demo7b_ext,organic-demo-042,other,,0,4,False,0
organic_demo7b_ext,organic-demo-043,incomplete,,0,9,False,0
organic_demo7b_ext,organic-demo-044,hallucinated,nonderivable_total,0,7,True,1
