framework,dataset,episode_id,is_healthy,failure_class,tau,T,alarm_step,outcome,delay,lead,budget_saved_frac
langgraph,langgraph7b_real,langgraph-real-healthy-000,True,,,6,4.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-001,True,,,7,3.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-002,True,,,6,4.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-003,True,,,7,3.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-004,True,,,6,4.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-005,True,,,12,3.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-006,True,,,8,4.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-007,True,,,7,3.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-008,True,,,6,4.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-009,True,,,7,3.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-010,True,,,6,4.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-healthy-011,True,,,9,3.0,false_alarm,,,
langgraph,langgraph7b_real,langgraph-real-goal_drift-000,False,goal_drift,3.0,8,3.0,true_alarm,0.0,4.0,0.5714285714285714
langgraph,langgraph7b_real,langgraph-real-goal_drift-001,False,goal_drift,2.0,4,,miss,,,
langgraph,langgraph7b_real,langgraph-real-goal_drift-002,False,goal_drift,3.0,5,3.0,true_alarm,0.0,1.0,0.25
langgraph,langgraph7b_real,langgraph-real-tool_cascade-000,False,tool_cascade,4.0,6,4.0,true_alarm,0.0,1.0,0.2
langgraph,langgraph7b_real,langgraph-real-tool_cascade-001,False,tool_cascade,4.0,7,3.0,early_alarm,,,
langgraph,langgraph7b_real,langgraph-real-tool_cascade-002,False,tool_cascade,4.0,6,4.0,true_alarm,0.0,1.0,0.2
langgraph,langgraph7b_real,langgraph-real-looping-000,False,looping,2.0,12,4.0,true_alarm,2.0,7.0,0.6363636363636364
langgraph,langgraph7b_real,langgraph-real-looping-001,False,looping,2.0,8,3.0,true_alarm,1.0,4.0,0.5714285714285714
langgraph,langgraph7b_real,langgraph-real-looping-002,False,looping,3.0,11,4.0,true_alarm,1.0,6.0,0.6
langgraph,langgraph7b_real,langgraph-real-context_corruption-000,False,context_corruption,2.0,9,4.0,true_alarm,2.0,4.0,0.5
langgraph,langgraph7b_real,langgraph-real-context_corruption-001,False,context_corruption,3.0,8,3.0,true_alarm,0.0,4.0,0.5714285714285714
langgraph,langgraph7b_real,langgraph-real-context_corruption-002,False,context_corruption,3.0,7,4.0,true_alarm,1.0,2.0,0.3333333333333333
autogen,autogen7b_real,autogen-real-healthy-000,True,,,4,,correct_silence,,,
autogen,autogen7b_real,autogen-real-healthy-001,True,,,9,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-002,True,,,4,,correct_silence,,,
autogen,autogen7b_real,autogen-real-healthy-003,True,,,8,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-004,True,,,7,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-005,True,,,9,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-006,True,,,4,,correct_silence,,,
autogen,autogen7b_real,autogen-real-healthy-007,True,,,7,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-008,True,,,5,4.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-009,True,,,7,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-healthy-010,True,,,4,,correct_silence,,,
autogen,autogen7b_real,autogen-real-healthy-011,True,,,7,3.0,false_alarm,,,
autogen,autogen7b_real,autogen-real-goal_drift-000,False,goal_drift,2.0,4,3.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real,autogen-real-goal_drift-001,False,goal_drift,2.0,8,3.0,true_alarm,1.0,4.0,0.5714285714285714
autogen,autogen7b_real,autogen-real-goal_drift-002,False,goal_drift,2.0,4,,miss,,,
autogen,autogen7b_real,autogen-real-tool_cascade-000,False,tool_cascade,2.0,4,3.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real,autogen-real-tool_cascade-001,False,tool_cascade,4.0,7,3.0,early_alarm,,,
autogen,autogen7b_real,autogen-real-tool_cascade-002,False,tool_cascade,2.0,4,3.0,true_alarm,1.0,0.0,0.0
autogen,autogen7b_real,autogen-real-looping-000,False,looping,3.0,12,3.0,true_alarm,0.0,8.0,0.7272727272727273
autogen,autogen7b_real,autogen-real-looping-001,False,looping,3.0,12,3.0,true_alarm,0.0,8.0,0.7272727272727273
autogen,autogen7b_real,autogen-real-looping-002,False,looping,2.0,10,4.0,true_alarm,2.0,5.0,0.5555555555555556
autogen,autogen7b_real,autogen-real-context_corruption-000,False,context_corruption,3.0,12,4.0,true_alarm,1.0,7.0,0.6363636363636364
autogen,autogen7b_real,autogen-real-context_corruption-001,False,context_corruption,3.0,12,3.0,true_alarm,0.0,8.0,0.7272727272727273
autogen,autogen7b_real,autogen-real-context_corruption-002,False,context_corruption,2.0,10,4.0,true_alarm,2.0,5.0,0.5555555555555556
