dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
real_gemini_long,esn_cusum_max,looping,0.5833333333333334,3.0,5.75
real_gemini_long,esn_cusum_max,tool_cascade,0.16666666666666666,6.0,0.16666666666666666
real_gemini_long,esn_cusum_max,context_corruption,0.7,4.0,1.9
real_gemini_long,esn_cusum_max,malformed_json,0.18181818181818182,4.5,0.45454545454545453
real_gemini_long,esn_cusum_max,rate_limit,0.42857142857142855,4.0,4.142857142857143
real_gemini_long,esn_cusum_max,timeout,0.4444444444444444,5.5,2.3333333333333335
real_gemini_long,esn_cusum_max,wrong_document,0.1,4.0,0.4
real_gemini_long,delta_mahalanobis,looping,0.25,14.0,1.0
real_gemini_long,delta_mahalanobis,tool_cascade,0.0,,0.0
real_gemini_long,delta_mahalanobis,context_corruption,0.0,,0.0
real_gemini_long,delta_mahalanobis,malformed_json,0.0,,0.0
real_gemini_long,delta_mahalanobis,rate_limit,0.0,,0.0
real_gemini_long,delta_mahalanobis,timeout,0.2222222222222222,9.5,0.2222222222222222
real_gemini_long,delta_mahalanobis,wrong_document,0.1,2.0,0.0
real_gemini_long,hybrid_weighted50,looping,0.5833333333333334,3.0,5.75
real_gemini_long,hybrid_weighted50,tool_cascade,0.16666666666666666,6.0,0.16666666666666666
real_gemini_long,hybrid_weighted50,context_corruption,0.7,5.0,1.8
real_gemini_long,hybrid_weighted50,malformed_json,0.09090909090909091,5.0,0.2727272727272727
real_gemini_long,hybrid_weighted50,rate_limit,0.42857142857142855,4.0,4.142857142857143
real_gemini_long,hybrid_weighted50,timeout,0.4444444444444444,5.5,2.2222222222222223
real_gemini_long,hybrid_weighted50,wrong_document,0.1,4.0,0.4
real_gemini_long,hybrid_max,looping,0.5833333333333334,3.0,5.75
real_gemini_long,hybrid_max,tool_cascade,0.16666666666666666,6.0,0.16666666666666666
real_gemini_long,hybrid_max,context_corruption,0.7,4.0,1.9
real_gemini_long,hybrid_max,malformed_json,0.18181818181818182,4.5,0.45454545454545453
