dataset,hybrid,vs,dauc_ci_lo,dauc_ci_hi,mcnemar_n10,mcnemar_n01,mcnemar_p,perm_mean_dlead,perm_p,wilcoxon_p,mcnemar_p_holm,mcnemar_reject_holm,family_size
real_gemini_long,hybrid_weighted50,esn_cusum_max,-0.0745,0.0709,0,1,1.0,-0.062,0.12384380780960952,0.0455002638963584,1.0,False,8
real_gemini_long,hybrid_weighted50,delta_mahalanobis,-0.1269,0.0873,20,2,0.00012111663818359375,2.0,4.999750012499375e-05,1.9228801732855007e-06,0.00073,True,8
real_gemini_long,hybrid_max,esn_cusum_max,-0.0178,0.0916,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_gemini_long,hybrid_max,delta_mahalanobis,-0.116,0.1474,21,2,6.604194641113281e-05,2.062,4.999750012499375e-05,7.20045497022136e-07,0.00046,True,8
real_gemini_long,hybrid_gated,esn_cusum_max,-0.0971,0.0571,2,1,1.0,0.246,0.0007499625018749063,0.0004566291841942482,1.0,False,8
real_gemini_long,hybrid_gated,delta_mahalanobis,-0.1598,0.0737,22,2,3.5881996154785156e-05,2.308,4.999750012499375e-05,4.437332466145905e-07,0.00029,True,8
real_gemini_long,hybrid_logistic,esn_cusum_max,-0.0703,0.0805,0,3,0.25,-0.246,9.99950002499875e-05,0.00010840307298666197,1.0,False,8
real_gemini_long,hybrid_logistic,delta_mahalanobis,-0.113,0.0885,18,2,0.0004024505615234375,1.815,4.999750012499375e-05,1.4317327837023654e-05,0.00201,True,8
real_research7b_long,hybrid_weighted50,esn_cusum_max,0.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b_long,hybrid_weighted50,delta_mahalanobis,-0.1882,0.0714,0,5,0.0625,-0.5,4.999750012499375e-05,2.3625262680710295e-05,0.4375,False,8
real_research7b_long,hybrid_max,esn_cusum_max,0.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b_long,hybrid_max,delta_mahalanobis,-0.1882,0.0714,0,5,0.0625,-0.5,4.999750012499375e-05,2.3625262680710295e-05,0.4375,False,8
real_research7b_long,hybrid_gated,esn_cusum_max,-0.0519,0.0435,0,1,1.0,-0.5,0.00024998750062496874,0.0003207662369491708,1.0,False,8
real_research7b_long,hybrid_gated,delta_mahalanobis,-0.1915,0.0594,0,6,0.03125,-1.0,4.999750012499375e-05,1.1529861768489418e-07,0.25,False,8
real_research7b_long,hybrid_logistic,esn_cusum_max,-0.049,0.2066,4,0,0.125,0.5,4.999750012499375e-05,4.0545003713243674e-05,0.625,False,8
real_research7b_long,hybrid_logistic,delta_mahalanobis,-0.0186,0.0437,1,2,1.0,0.0,1.0,0.5829332678266148,1.0,False,8
