dataset,monitor,auroc_mean,auroc_std,auprc_mean,auprc_std,detection_rate_mean,detection_rate_std,healthy_fa_rate_mean,healthy_fa_rate_std,mean_lead_all_mean,mean_lead_all_std
gemini,esn_cusum_max,0.7465,0.0051,0.9512,0.0009,0.7013,0.0113,0.28,0.0298,1.681,0.0243
gemini,delta_mahalanobis,0.7561,0.0,0.9479,0.0,0.5823,0.0,0.2,0.0,0.6709,0.0
gemini,hybrid_weighted50,0.7507,0.0032,0.9519,0.0006,0.7038,0.0113,0.32,0.0869,1.6684,0.0362
gemini,grounding,0.5,0.0,0.8404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini,hybrid_weighted_g,0.7507,0.0032,0.9519,0.0006,0.7038,0.0113,0.32,0.0869,1.6684,0.0362
gemini,hybrid_content_gate,0.7507,0.0032,0.9519,0.0006,0.7038,0.0113,0.32,0.0869,1.6684,0.0362
gemini,hybrid_adaptive,0.7507,0.0032,0.9519,0.0006,0.7038,0.0113,0.32,0.0869,1.6684,0.0362
gemini,hybrid_logistic,0.744,0.009,0.9496,0.0039,0.6962,0.0127,0.24,0.0365,1.6177,0.0547
gemini,hybrid_logistic_g,0.719,0.0113,0.9396,0.0051,0.6911,0.017,0.2533,0.0558,1.5797,0.0762
gemini,joint_budget,0.7507,0.0032,0.9519,0.0006,0.7038,0.0113,0.32,0.0869,1.6684,0.0362
autogen7b,esn_cusum_max,0.8221,0.008,0.9724,0.0012,0.5205,0.0051,0.0667,0.0373,0.3614,0.0124
autogen7b,delta_mahalanobis,0.7737,0.0,0.9541,0.0,0.3864,0.0,0.0833,0.0,0.1705,0.0
autogen7b,hybrid_weighted50,0.8206,0.0016,0.9727,0.0003,0.5159,0.0062,0.0833,0.0,0.35,0.0124
autogen7b,grounding,0.4366,0.0,0.8887,0.0,0.1818,0.0,0.0833,0.0,0.4091,0.0
autogen7b,hybrid_weighted_g,0.7538,0.0041,0.9634,0.0007,0.5159,0.0062,0.0833,0.0,0.35,0.0124
autogen7b,hybrid_content_gate,0.8322,0.0012,0.9759,0.0002,0.6705,0.0,0.1167,0.0456,1.0818,0.0095
autogen7b,hybrid_adaptive,0.8176,0.0022,0.9745,0.0003,0.6705,0.0,0.0833,0.0,1.075,0.0102
autogen7b,hybrid_logistic,0.7795,0.0048,0.9585,0.0031,0.3455,0.0172,0.0833,0.0,0.1432,0.0296
autogen7b,hybrid_logistic_g,0.7835,0.0052,0.9617,0.0027,0.3455,0.0236,0.0833,0.0,0.1523,0.0347
autogen7b,joint_budget,0.7574,0.0031,0.9637,0.0006,0.5159,0.0062,0.0833,0.0,0.35,0.0124
ollama7b,esn_cusum_max,0.9943,0.0007,0.9991,0.0001,0.9694,0.0105,0.0,0.0,1.6894,0.077
ollama7b,delta_mahalanobis,0.895,0.0,0.9817,0.0,0.2941,0.0,0.0,0.0,0.0353,0.0
ollama7b,hybrid_weighted50,0.9941,0.0,0.9991,0.0,0.9694,0.0105,0.0,0.0,1.6706,0.1188
ollama7b,grounding,0.4966,0.0,0.8705,0.0,0.0941,0.0,0.0,0.0,0.2706,0.0
ollama7b,hybrid_weighted_g,0.9929,0.0005,0.9988,0.0001,0.9694,0.0105,0.0,0.0,1.6706,0.1188
ollama7b,hybrid_content_gate,0.9941,0.0,0.9991,0.0,0.9694,0.0105,0.0,0.0,1.6824,0.1188
ollama7b,hybrid_adaptive,0.9938,0.0008,0.9991,0.0001,0.9694,0.0105,0.0,0.0,1.6235,0.1135
ollama7b,hybrid_logistic,0.9901,0.0061,0.9984,0.001,0.2682,0.0281,0.0,0.0,0.0329,0.0268
ollama7b,hybrid_logistic_g,0.9961,0.0015,0.9994,0.0002,0.4659,0.0271,0.0,0.0,0.2682,0.0834
ollama7b,joint_budget,0.9929,0.0005,0.9988,0.0001,0.9694,0.0105,0.0,0.0,1.6706,0.1188
langgraph7b,esn_cusum_max,0.8298,0.0039,0.9615,0.0008,0.5341,0.02,0.0,0.0,0.6088,0.0167
langgraph7b,delta_mahalanobis,0.8854,0.0,0.9685,0.0,0.7363,0.0,0.1429,0.0,1.5495,0.0
langgraph7b,hybrid_weighted50,0.8687,0.0211,0.9698,0.0045,0.5802,0.0333,0.0286,0.0261,0.7626,0.0715
langgraph7b,grounding,0.5426,0.0,0.8624,0.0,0.2088,0.0,0.0,0.0,0.5824,0.0
langgraph7b,hybrid_weighted_g,0.8423,0.0379,0.965,0.0077,0.5451,0.0241,0.0286,0.0261,0.7978,0.0908
langgraph7b,hybrid_content_gate,0.8816,0.0103,0.9736,0.002,0.6857,0.006,0.0286,0.0261,1.4835,0.0
langgraph7b,hybrid_adaptive,0.8744,0.0162,0.9724,0.003,0.6505,0.0238,0.0286,0.0261,1.4264,0.0049
langgraph7b,hybrid_logistic,0.881,0.0129,0.97,0.0038,0.7319,0.0125,0.1143,0.0261,1.4593,0.0684
langgraph7b,hybrid_logistic_g,0.886,0.0059,0.9729,0.0012,0.6901,0.0211,0.0952,0.0,1.4527,0.087
langgraph7b,joint_budget,0.8453,0.0313,0.9656,0.0062,0.5451,0.0241,0.0286,0.0261,0.7978,0.0908
real_research7b,esn_cusum_max,0.7675,0.0091,0.9609,0.0012,0.3696,0.0049,0.075,0.0186,0.2222,0.0
real_research7b,delta_mahalanobis,0.8484,0.0,0.9717,0.0,0.4152,0.0,0.0417,0.0,0.8304,0.0
real_research7b,hybrid_weighted50,0.8126,0.004,0.9676,0.0006,0.3626,0.0072,0.0583,0.0228,0.2211,0.0026
real_research7b,grounding,0.7548,0.0,0.9621,0.0,0.5439,0.0,0.0417,0.0,1.1813,0.0
real_research7b,hybrid_weighted_g,0.8018,0.0038,0.9685,0.0006,0.4327,0.0137,0.0583,0.0228,0.2971,0.0146
real_research7b,hybrid_content_gate,0.8805,0.0034,0.9799,0.0005,0.5181,0.0089,0.0583,0.0228,0.4117,0.0121
real_research7b,hybrid_adaptive,0.8546,0.0038,0.9753,0.0007,0.4363,0.0121,0.0583,0.0228,0.2982,0.017
real_research7b,hybrid_logistic,0.8458,0.0019,0.9712,0.0004,0.3778,0.0121,0.0417,0.0,0.7556,0.0172
real_research7b,hybrid_logistic_g,0.919,0.0019,0.9826,0.0004,0.3813,0.0172,0.0417,0.0,0.6959,0.0248
real_research7b,joint_budget,0.8018,0.0038,0.9685,0.0006,0.4327,0.0137,0.0583,0.0228,0.2971,0.0146
real_research7b_long,esn_cusum_max,0.7817,0.0137,0.9659,0.0019,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,delta_mahalanobis,0.8492,0.0,0.9771,0.0,0.6905,0.0,0.1667,0.0,4.1429,0.0
real_research7b_long,hybrid_weighted50,0.7873,0.0087,0.9665,0.0016,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,grounding,0.7063,0.0,0.9403,0.0,0.0714,0.0,0.0,0.0,0.1905,0.0
real_research7b_long,hybrid_weighted_g,0.9048,0.0,0.9877,0.0,0.8333,0.0,0.0,0.0,5.6429,0.0
