seed,monitor,group,n,det_ref,det_grounded,delta
0,hybrid_weighted_g,content,313,0.2716,0.4537,0.1821
0,hybrid_weighted_g,behavioral,561,0.738,0.7326,-0.0053
0,hybrid_content_gate,content,313,0.2716,0.5783,0.3067
0,hybrid_content_gate,behavioral,561,0.738,0.7861,0.0481
0,hybrid_adaptive,content,313,0.2716,0.524,0.2524
0,hybrid_adaptive,behavioral,561,0.738,0.7772,0.0392
0,hybrid_logistic_g,content,313,0.2716,0.3163,0.0447
0,hybrid_logistic_g,behavioral,561,0.738,0.6916,-0.0463
7,hybrid_weighted_g,content,313,0.2684,0.4537,0.1853
7,hybrid_weighted_g,behavioral,561,0.7433,0.738,-0.0053
7,hybrid_content_gate,content,313,0.2684,0.5815,0.3131
7,hybrid_content_gate,behavioral,561,0.7433,0.7879,0.0446
7,hybrid_adaptive,content,313,0.2684,0.5335,0.2652
7,hybrid_adaptive,behavioral,561,0.7433,0.779,0.0357
7,hybrid_logistic_g,content,313,0.2684,0.3195,0.0511
7,hybrid_logistic_g,behavioral,561,0.7433,0.7023,-0.041
101,hybrid_weighted_g,content,313,0.2843,0.4696,0.1853
101,hybrid_weighted_g,behavioral,561,0.7594,0.754,-0.0053
101,hybrid_content_gate,content,313,0.2843,0.6006,0.3163
101,hybrid_content_gate,behavioral,561,0.7594,0.7986,0.0392
101,hybrid_adaptive,content,313,0.2843,0.5431,0.2588
101,hybrid_adaptive,behavioral,561,0.7594,0.7897,0.0303
101,hybrid_logistic_g,content,313,0.2843,0.345,0.0607
101,hybrid_logistic_g,behavioral,561,0.7594,0.7184,-0.041
202,hybrid_weighted_g,content,313,0.2875,0.4728,0.1853
202,hybrid_weighted_g,behavioral,561,0.7398,0.7398,0.0
202,hybrid_content_gate,content,313,0.2875,0.6038,0.3163
202,hybrid_content_gate,behavioral,561,0.7398,0.7914,0.0517
202,hybrid_adaptive,content,313,0.2875,0.5431,0.2556
202,hybrid_adaptive,behavioral,561,0.7398,0.7879,0.0481
202,hybrid_logistic_g,content,313,0.2875,0.3195,0.0319
202,hybrid_logistic_g,behavioral,561,0.7398,0.7255,-0.0143
303,hybrid_weighted_g,content,313,0.278,0.4792,0.2013
303,hybrid_weighted_g,behavioral,561,0.7504,0.7451,-0.0053
303,hybrid_content_gate,content,313,0.278,0.5974,0.3195
303,hybrid_content_gate,behavioral,561,0.7504,0.7932,0.0428
303,hybrid_adaptive,content,313,0.278,0.5495,0.2716
303,hybrid_adaptive,behavioral,561,0.7504,0.7825,0.0321
303,hybrid_logistic_g,content,313,0.278,0.3099,0.0319
303,hybrid_logistic_g,behavioral,561,0.7504,0.7273,-0.0232
