dataset,dim,auroc,detection_rate,healthy_fa_rate,det[context_corruption],det[wrong_document],det[malformed_json]
ollama7b,query_dis,0.5,0.0,0.0,0.0,,
ollama7b,reason_dis,0.5,0.0,0.0,0.0,,
ollama7b,self_dis,0.5,0.0,0.0,0.0,,
ollama7b,json_broken,0.5,0.0,0.0,0.0,,
ollama7b,char_anom,0.5,0.0,0.0,0.0,,
ollama7b,consec_dis,0.5,0.0,0.0,0.0,,
ollama7b,drift,0.5,0.0,0.0,0.0,,
ollama7b,mem_dis,0.5,0.0,0.0,0.0,,
ollama7b,lex_miss,0.5,0.0,0.0,0.0,,
real_research7b,query_dis,0.6020021645021645,0.06493506493506493,0.041666666666666664,0.045454545454545456,0.0,0.0
real_research7b,reason_dis,0.4991883116883116,0.03896103896103896,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,self_dis,0.35619588744588737,0.006493506493506494,0.08333333333333333,0.0,0.0,0.0
real_research7b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b,char_anom,0.5008116883116882,0.2662337662337662,0.08333333333333333,0.7727272727272727,0.0,1.0
real_research7b,consec_dis,0.4284361471861472,0.025974025974025976,0.041666666666666664,0.0,0.0,0.0
real_research7b,drift,0.4588744588744589,0.15584415584415584,0.16666666666666666,0.09090909090909091,0.2727272727272727,0.0
real_research7b,mem_dis,0.49945887445887444,0.03896103896103896,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,lex_miss,0.6428571428571428,0.2857142857142857,0.0,0.09090909090909091,1.0,0.0
