dataset,dim,auroc,detection_rate,healthy_fa_rate,det[context_corruption],det[wrong_document],det[malformed_json]
langgraph7b,query_dis,0.5,0.0,0.0,0.0,,
langgraph7b,reason_dis,0.5,0.0,0.0,0.0,,
langgraph7b,self_dis,0.5,0.0,0.0,0.0,,
langgraph7b,json_broken,0.5,0.0,0.0,0.0,,
langgraph7b,char_anom,0.5,0.0,0.0,0.0,,
langgraph7b,consec_dis,0.5,0.0,0.0,0.0,,
langgraph7b,drift,0.5,0.0,0.0,0.0,,
langgraph7b,mem_dis,0.5,0.0,0.0,0.0,,
langgraph7b,lex_miss,0.5,0.0,0.0,0.0,,
real_research7b,query_dis,0.7149621212121211,0.17613636363636365,0.041666666666666664,0.045454545454545456,0.18181818181818182,0.3181818181818182
real_research7b,reason_dis,0.4957386363636364,0.03409090909090909,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,self_dis,0.5834517045454546,0.0625,0.041666666666666664,0.045454545454545456,0.0,0.0
real_research7b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b,char_anom,0.4753787878787879,0.25,0.08333333333333333,0.7727272727272727,0.0,1.0
real_research7b,consec_dis,0.5994318181818181,0.08522727272727272,0.08333333333333333,0.045454545454545456,0.0,0.0
real_research7b,drift,0.592092803030303,0.011363636363636364,0.0,0.045454545454545456,0.0,0.0
real_research7b,mem_dis,0.495501893939394,0.03409090909090909,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,lex_miss,0.6704545454545454,0.3409090909090909,0.0,0.09090909090909091,1.0,0.0
real_research3b,query_dis,0.46048632218844987,0.0851063829787234,0.14285714285714285,0.0,0.2,0.16666666666666666
real_research3b,reason_dis,0.5957446808510638,0.19148936170212766,0.0,0.0,0.0,0.8333333333333334
real_research3b,self_dis,0.36626139817629183,0.0,0.0,0.0,0.0,0.0
real_research3b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research3b,char_anom,0.40577507598784196,0.2553191489361702,0.2857142857142857,0.3333333333333333,0.0,1.0
real_research3b,consec_dis,0.4164133738601824,0.0425531914893617,0.0,0.0,0.2,0.0
real_research3b,drift,0.25531914893617025,0.02127659574468085,0.14285714285714285,0.0,0.0,0.0
real_research3b,mem_dis,0.5957446808510638,0.19148936170212766,0.0,0.0,0.0,0.8333333333333334
real_research3b,lex_miss,0.648936170212766,0.23404255319148937,0.0,0.16666666666666666,1.0,0.0
