dataset,monitor,failure_class,detection_rate,median_delay
langgraph7b,esn_cusum_max,looping,0.25,0.0
langgraph7b,esn_cusum_max,tool_cascade,0.8333333333333334,1.0
langgraph7b,esn_cusum_max,context_corruption,0.0,
langgraph7b,delta_mahalanobis,looping,0.25,0.0
langgraph7b,delta_mahalanobis,tool_cascade,0.4166666666666667,0.0
langgraph7b,delta_mahalanobis,context_corruption,0.0,
langgraph7b,hybrid_weighted50,looping,0.25,0.0
langgraph7b,hybrid_weighted50,tool_cascade,0.4166666666666667,0.0
langgraph7b,hybrid_weighted50,context_corruption,0.0,
langgraph7b,grounding,looping,0.0,
langgraph7b,grounding,tool_cascade,0.0,
langgraph7b,grounding,context_corruption,0.0,
langgraph7b,hybrid_weighted_g,looping,0.25,0.0
langgraph7b,hybrid_weighted_g,tool_cascade,0.4166666666666667,0.0
langgraph7b,hybrid_weighted_g,context_corruption,0.0,
langgraph7b,hybrid_content_gate,looping,0.25,0.0
langgraph7b,hybrid_content_gate,tool_cascade,0.4166666666666667,0.0
langgraph7b,hybrid_content_gate,context_corruption,0.0,
langgraph7b,hybrid_adaptive,looping,0.25,0.0
langgraph7b,hybrid_adaptive,tool_cascade,0.4166666666666667,0.0
langgraph7b,hybrid_adaptive,context_corruption,0.0,
langgraph7b,hybrid_logistic,looping,0.3333333333333333,0.5
langgraph7b,hybrid_logistic,tool_cascade,0.9166666666666666,1.0
langgraph7b,hybrid_logistic,context_corruption,0.0,
langgraph7b,hybrid_logistic_g,looping,0.16666666666666666,0.5
langgraph7b,hybrid_logistic_g,tool_cascade,0.4166666666666667,1.0
langgraph7b,hybrid_logistic_g,context_corruption,0.0,
langgraph7b,dual_budget,looping,0.25,0.0
langgraph7b,dual_budget,tool_cascade,0.4166666666666667,0.0
langgraph7b,dual_budget,context_corruption,0.0,
real_research7b,esn_cusum_max,goal_drift,0.09090909090909091,4.5
real_research7b,esn_cusum_max,looping,0.045454545454545456,3.0
real_research7b,esn_cusum_max,tool_cascade,0.5,2.0
real_research7b,esn_cusum_max,context_corruption,0.0,
real_research7b,esn_cusum_max,malformed_json,0.13636363636363635,4.0
real_research7b,esn_cusum_max,rate_limit,0.6818181818181818,2.0
real_research7b,esn_cusum_max,timeout,0.4090909090909091,2.0
real_research7b,esn_cusum_max,wrong_document,0.09090909090909091,4.0
real_research7b,delta_mahalanobis,goal_drift,0.2727272727272727,2.0
real_research7b,delta_mahalanobis,looping,1.0,0.0
real_research7b,delta_mahalanobis,tool_cascade,0.6818181818181818,2.0
real_research7b,delta_mahalanobis,context_corruption,0.0,
real_research7b,delta_mahalanobis,malformed_json,0.045454545454545456,3.0
real_research7b,delta_mahalanobis,rate_limit,0.8181818181818182,1.0
real_research7b,delta_mahalanobis,timeout,0.45454545454545453,1.0
real_research7b,delta_mahalanobis,wrong_document,0.045454545454545456,4.0
real_research7b,hybrid_weighted50,goal_drift,0.2727272727272727,2.0
real_research7b,hybrid_weighted50,looping,0.22727272727272727,3.0
real_research7b,hybrid_weighted50,tool_cascade,0.5454545454545454,2.0
real_research7b,hybrid_weighted50,context_corruption,0.0,
real_research7b,hybrid_weighted50,malformed_json,0.13636363636363635,4.0
real_research7b,hybrid_weighted50,rate_limit,0.6818181818181818,2.0
real_research7b,hybrid_weighted50,timeout,0.45454545454545453,2.0
real_research7b,hybrid_weighted50,wrong_document,0.09090909090909091,4.0
real_research7b,grounding,goal_drift,0.8181818181818182,2.0
real_research7b,grounding,looping,0.9090909090909091,0.0
real_research7b,grounding,tool_cascade,0.09090909090909091,1.5
real_research7b,grounding,context_corruption,0.8181818181818182,2.0
real_research7b,grounding,malformed_json,1.0,0.0
real_research7b,grounding,rate_limit,0.0,
real_research7b,grounding,timeout,0.045454545454545456,2.0
real_research7b,grounding,wrong_document,1.0,0.0
real_research7b,hybrid_weighted_g,goal_drift,0.9090909090909091,2.0
real_research7b,hybrid_weighted_g,looping,1.0,0.0
real_research7b,hybrid_weighted_g,tool_cascade,0.5454545454545454,2.0
real_research7b,hybrid_weighted_g,context_corruption,0.13636363636363635,2.0
real_research7b,hybrid_weighted_g,malformed_json,0.8181818181818182,2.0
real_research7b,hybrid_weighted_g,rate_limit,0.6818181818181818,2.0
real_research7b,hybrid_weighted_g,timeout,0.45454545454545453,2.0
real_research7b,hybrid_weighted_g,wrong_document,1.0,0.0
