monitor,theta,detection_rate,healthy_fa_rate,early_alarm_rate,median_delay,median_delay_ci_lo,median_delay_ci_hi,median_lead,median_lead_ci_lo,median_lead_ci_hi,mean_lead_all,mean_lead_all_ci_lo,mean_lead_all_ci_hi,mean_budget_saved,mean_budget_saved_all,episode_auc
esn_full,7.7002995283784115,0.3825,0.075,0.03,4.0,4.0,5.0,9.0,8.0,10.0,3.4825,2.9874375,3.9478749999999994,0.2668749745032324,0.10207967774748637,0.78975
esn_single,7.104147962698572,0.3575,0.06875,0.0425,4.0,4.0,5.0,10.0,9.0,10.0,3.3175,2.8423125,3.7900625,0.2722080981351976,0.09731439508333313,0.771921875
esn[e],3.5094847180481388,0.575,0.0375,0.0275,3.0,3.0,4.0,11.0,11.0,12.0,6.2525,5.659875,6.792562500000001,0.3075615366872805,0.17684788359518624,0.797015625
esn[u],4.545556056149405,0.345,0.04375,0.0225,6.0,5.0,7.0,7.0,6.0,8.0,2.4575,2.0748125,2.8475625,0.20664792355019007,0.07129353362481558,0.665578125
esn[m],18.328828692613126,0.225,0.04375,0.01,4.0,3.0,4.5,10.0,9.0,10.0,2.2025,1.7875,2.6575625,0.28217910984056527,0.06349029971412719,0.6745
"esn[e,u]",3.371113756034257,0.6025,0.05,0.035,4.0,3.0,4.0,11.0,10.0,12.0,6.3125,5.7574375,6.8425625000000005,0.29791405021089873,0.1794932152520665,0.840609375
esn_cusum,31.713870521349648,0.6175,0.03125,0.01,5.0,4.0,6.0,9.0,9.0,10.0,5.425,4.8725,5.9075,0.24804434720647708,0.15316738439999958,0.840984375
esn_cusum[e],19.879776078922642,0.5825,0.0375,0.0225,4.0,4.0,5.0,10.0,10.0,11.0,5.8125,5.274750000000001,6.3226875,0.2821213572631472,0.16433569060578324,0.78671875
esn_cusum[u],24.81477200674223,0.395,0.025,0.005,7.0,6.0,7.5,7.0,6.0,7.0,2.825,2.419875,3.2125624999999998,0.20296685860330066,0.08017190914830376,0.6586093749999999
esn_cusum[m],60.42649099681753,0.3725,0.06875,0.0125,6.0,5.0,8.0,7.0,7.0,9.0,2.79,2.357375,3.2501249999999997,0.20992555702815732,0.0781972699929886,0.7077031250000001
"esn_cusum[e,u]",17.605184361203932,0.6325,0.0625,0.0375,4.0,4.0,5.0,10.0,9.0,10.0,6.095,5.574750000000001,6.620125,0.273382190720316,0.17291423563059985,0.8501874999999999
esn_cusum_max,58.01986594736927,0.6925,0.06875,0.0125,9.0,8.0,9.0,6.0,5.0,6.0,4.3175,3.8424375,4.7675,0.1756032008601388,0.12160521659564612,0.847328125
linear_ar,27.401327764666583,0.6025,0.1,0.0275,4.0,4.0,4.0,10.0,10.0,11.0,6.2275,5.604375000000001,6.7401875,0.2924376197807939,0.17619366591792832,0.820921875
gru,17.72921626460523,0.6025,0.05625,0.045,5.0,4.0,5.0,10.0,9.0,10.0,5.6325,5.0825,6.102625,0.2653164132014256,0.15985313895385894,0.82353125
tcn,37.37280439935223,0.33,0.0625,0.0075,5.5,5.0,8.0,7.0,6.0,8.0,2.4975,2.0771875000000004,2.9126875,0.21780773971669365,0.07187655410650891,0.73809375
lstm,19.61763339711247,0.595,0.04375,0.0375,5.0,4.0,5.0,9.0,9.0,10.0,5.32,4.7824374999999995,5.8050625,0.25564839296145375,0.15211079381206502,0.822890625
cosine_drift,1.1667823588197352,0.06,0.01875,0.01,9.0,7.0,10.0,7.0,5.0,8.0,0.3775,0.22993750000000007,0.5525625,0.18127333205195187,0.010876399923117112,0.5485625000000001
self_drift,0.734242478213469,0.17,0.075,0.035,7.0,6.0,8.0,8.0,7.0,9.0,1.285,0.9625,1.6025625,0.20732346924156345,0.035244989771065785,0.562640625
rolling_surprisal,2.355971860967191,0.035,0.13125,0.085,8.0,5.487500000000011,11.0,4.0,2.5,6.0,0.15,0.06,0.25256249999999997,0.14827757644332548,0.005189715175516393,0.5300156250000001
mahalanobis,13.674630499976171,0.2425,0.05625,0.035,4.0,3.0,5.0,10.0,9.0,11.0,2.3075,1.8823125000000003,2.735,0.27409693922221623,0.06646850776138745,0.706328125
delta_mahalanobis,15.766831459413075,0.3775,0.08125,0.045,4.0,3.0,4.0,10.0,9.0,10.0,3.59,3.0999375000000002,4.1153125,0.2765508408945679,0.10439794243769937,0.7553437500000001
iforest,0.003077403358711317,0.1475,0.05625,0.0175,8.0,6.0,8.0,5.0,5.0,7.0,0.83,0.6123750000000001,1.0875624999999998,0.1738839429591447,0.02564788158647384,0.667078125
