monitor,channels,failure_class,n_injected,detection_rate,median_delay,median_lead,mean_lead_all
esn_full,"e,u,m",goal_drift,80,0.0375,5.0,10.0,0.3875
esn_full,"e,u,m",looping,80,0.3375,8.0,6.0,2.3125
esn_full,"e,u,m",tool_cascade,80,0.95,3.0,11.0,10.425
esn_full,"e,u,m",grounding_loss,80,0.0625,9.0,3.0,0.375
esn_full,"e,u,m",context_corruption,80,0.525,4.0,7.5,3.9125
esn[e],e,goal_drift,80,0.0,,,0.0
esn[e],e,looping,80,0.9875,4.0,10.0,9.7125
esn[e],e,tool_cascade,80,0.975,4.0,11.0,10.7125
esn[e],e,grounding_loss,80,0.0,,,0.0
esn[e],e,context_corruption,80,0.9125,2.0,12.0,10.8375
esn[u],u,goal_drift,80,0.025,5.5,14.0,0.35
esn[u],u,looping,80,0.0,,,0.0
esn[u],u,tool_cascade,80,0.0125,14.0,6.0,0.075
esn[u],u,grounding_loss,80,0.9375,6.0,8.0,7.1625
esn[u],u,context_corruption,80,0.75,7.0,6.0,4.7
esn[m],m,goal_drift,80,0.025,3.0,13.0,0.325
esn[m],m,looping,80,0.0375,7.0,4.0,0.125
esn[m],m,tool_cascade,80,0.9875,4.0,10.0,10.0875
esn[m],m,grounding_loss,80,0.0125,0.0,18.0,0.225
esn[m],m,context_corruption,80,0.0625,11.0,3.0,0.25
"esn[e,u]","e,u",goal_drift,80,0.0,,,0.0
"esn[e,u]","e,u",looping,80,0.9625,4.0,10.0,9.525
"esn[e,u]","e,u",tool_cascade,80,0.9875,4.0,12.0,10.8625
"esn[e,u]","e,u",grounding_loss,80,0.15,8.0,3.0,0.55
"esn[e,u]","e,u",context_corruption,80,0.9125,2.0,12.0,10.625
esn_cusum,"e,u,m",goal_drift,80,0.0125,0.0,16.0,0.2
esn_cusum,"e,u,m",looping,80,0.9875,8.0,7.0,6.7875
esn_cusum,"e,u,m",tool_cascade,80,0.975,3.5,11.0,10.7125
esn_cusum,"e,u,m",grounding_loss,80,0.1375,12.0,2.0,0.4875
esn_cusum,"e,u,m",context_corruption,80,0.975,4.0,9.5,8.9375
esn_cusum[e],e,goal_drift,80,0.0,,,0.0
esn_cusum[e],e,looping,80,0.9875,6.0,9.0,8.825
esn_cusum[e],e,tool_cascade,80,0.975,4.0,11.0,10.1
esn_cusum[e],e,grounding_loss,80,0.0,,,0.0
esn_cusum[e],e,context_corruption,80,0.95,3.0,11.0,10.1375
esn_cusum[u],u,goal_drift,80,0.0125,5.0,15.0,0.1875
esn_cusum[u],u,looping,80,0.0375,5.0,8.0,0.2875
esn_cusum[u],u,tool_cascade,80,0.0,,,0.0
esn_cusum[u],u,grounding_loss,80,1.0,6.0,7.0,7.5
esn_cusum[u],u,context_corruption,80,0.925,7.0,6.5,6.15
esn_cusum[m],m,goal_drift,80,0.0375,6.0,10.0,0.35
esn_cusum[m],m,looping,80,0.175,12.0,3.0,0.6375
esn_cusum[m],m,tool_cascade,80,0.975,4.0,10.0,10.05
esn_cusum[m],m,grounding_loss,80,0.0875,3.0,12.0,0.8625
esn_cusum[m],m,context_corruption,80,0.5875,12.0,3.0,2.05
"esn_cusum[e,u]","e,u",goal_drift,80,0.025,8.0,10.5,0.2625
"esn_cusum[e,u]","e,u",looping,80,0.975,5.0,9.0,8.875
"esn_cusum[e,u]","e,u",tool_cascade,80,0.95,4.0,10.0,9.8125
"esn_cusum[e,u]","e,u",grounding_loss,80,0.3,9.0,4.0,1.4125
"esn_cusum[e,u]","e,u",context_corruption,80,0.9125,3.0,11.0,10.1125
esn_cusum_max,"max(e,u,m)",goal_drift,80,0.0375,6.0,10.0,0.35
esn_cusum_max,"max(e,u,m)",looping,80,0.8125,11.0,5.0,3.9625
esn_cusum_max,"max(e,u,m)",tool_cascade,80,0.975,4.0,10.0,10.2875
esn_cusum_max,"max(e,u,m)",grounding_loss,80,0.7375,11.0,2.0,2.575
esn_cusum_max,"max(e,u,m)",context_corruption,80,0.9,9.0,5.0,4.4125
self_drift,e (self-consistency),goal_drift,80,0.4,8.0,8.0,3.0875
self_drift,e (self-consistency),looping,80,0.0,,,0.0
self_drift,e (self-consistency),tool_cascade,80,0.0,,,0.0
self_drift,e (self-consistency),grounding_loss,80,0.0375,10.0,8.0,0.3375
self_drift,e (self-consistency),context_corruption,80,0.4125,6.0,7.0,3.0
