stream,calibrator,bin_center,mean_confidence,empirical_freq,count
fused,isotonic,0.35,0.3368883149878367,0.35555555555555557,180
fused,isotonic,0.45,0.4461949894298088,0.0,1
fused,isotonic,0.55,0.530908066803447,0.75,8
fused,isotonic,0.65,0.6268561340760541,0.5964912280701754,57
fused,isotonic,0.75,0.7942209312751225,1.0,1
fused,isotonic,0.85,0.8273862382783952,0.7714285714285715,35
fused,isotonic,0.95,0.9936087196503562,0.9640287769784173,278
surprise,isotonic,0.25,0.2715732437633552,0.34,100
surprise,isotonic,0.35,0.3248209549200516,0.4166666666666667,60
surprise,isotonic,0.45,0.4020460310645347,0.0,1
surprise,isotonic,0.55,0.5143238327558022,0.6,5
surprise,isotonic,0.65,0.6179721661979627,0.56,25
surprise,isotonic,0.75,0.7322391493398618,0.7663551401869159,107
surprise,isotonic,0.85,0.8343101326488187,0.6,15
surprise,isotonic,0.95,0.9945312706665254,0.9433198380566802,247
disagreement,isotonic,0.45,0.4516181916207948,0.41626794258373206,209
disagreement,isotonic,0.55,0.5,0.56,25
disagreement,isotonic,0.65,0.6868841862491368,0.6875,64
disagreement,isotonic,0.75,0.748763548981445,0.5,2
disagreement,isotonic,0.85,0.8727675069278724,1.0,10
disagreement,isotonic,0.95,0.9813501979096934,0.976,250
