contrast,metric,a_mean,a_sd,b_mean,b_sd,paired_mean,ci_lo,ci_hi,p_perm,wins,n,p_holm,significant
hmt_mt - hmt_single,episode_auc,0.7830774853801169,0.052853288711682316,0.7840450373619234,0.049538794479027266,-0.0009675519818063767,-0.004949515716374273,0.003329272254710836,0.6459677016149192,55,120,1.0,False
hmt_mt - hmt_single,detection_rate,0.4444931773879143,0.12909092064570993,0.42914230019493177,0.13128005832744213,0.015350877192982454,0.0017056530214424963,0.02841130604288499,0.028148592570371483,65,120,0.11259437028148593,False
hmt_mt - hmt_single,healthy_fa_rate,0.08506944444444445,0.07275183115998118,0.08506944444444445,0.07335096421408523,0.0,-0.007291666666666667,0.007291666666666667,1.0,25,120,1.0,False
hmt_mt - hmt_single,mean_lead_all,0.43791423001949314,0.27287647663951387,0.42524366471734887,0.27297861412993174,0.012670565302144247,-0.007066276803118911,0.03245735867446392,0.22203889805509724,65,120,0.6661166941652917,False
hmt_full - hmt_mt,episode_auc,0.7841232131254061,0.050715813025951684,0.7830774853801169,0.052853288711682316,0.0010457277452891526,-0.0009726283300844585,0.0030621040448342994,0.31558422078896053,71,120,0.6311684415779211,False
hmt_full - hmt_mt,detection_rate,0.46325536062378164,0.11731280559780567,0.4444931773879143,0.12909092064570993,0.018762183235867445,0.01120857699805068,0.027194200779727083,4.999750012499375e-05,70,120,0.000199990000499975,True
hmt_full - hmt_mt,healthy_fa_rate,0.08576388888888889,0.07293208787174607,0.08506944444444445,0.07275183115998118,0.0006944444444444443,-0.0045138888888888885,0.005555555555555555,0.8516074196290185,13,120,0.8516074196290185,False
hmt_full - hmt_mt,mean_lead_all,0.4805555555555555,0.27362580299063555,0.43791423001949314,0.27287647663951387,0.042641325536062376,0.023536793372319682,0.06311038011695905,4.999750012499375e-05,60,120,0.000199990000499975,True
hmt_h - hmt_single,episode_auc,0.7809809535412605,0.050360929079996154,0.7840450373619234,0.049538794479027266,-0.0030640838206627756,-0.005804372766406761,-0.0003096064814814793,0.035048247587620616,48,120,0.11299435028248588,False
hmt_h - hmt_single,detection_rate,0.44030214424951264,0.12244586467015986,0.42914230019493177,0.13128005832744213,0.011159844054580897,0.0006822612085770003,0.022514619883040935,0.045297735113244336,59,120,0.11299435028248588,False
hmt_h - hmt_single,healthy_fa_rate,0.08541666666666667,0.06700065150121529,0.08506944444444445,0.07335096421408523,0.0003472222222222224,-0.006597222222222223,0.006944444444444444,0.9170541472926353,25,120,0.9170541472926353,False
hmt_h - hmt_single,mean_lead_all,0.4470760233918129,0.2672672634578957,0.42524366471734887,0.27297861412993174,0.021832358674463932,0.003411306042884987,0.04303240740740738,0.02824858757062147,67,120,0.11299435028248588,False
hmt_mt - single_fast,episode_auc,0.7830774853801169,0.052853288711682316,0.7978689489928524,0.049171686772874104,-0.01479146361273555,-0.018964323424301502,-0.010613324398960379,4.999750012499375e-05,33,120,0.000199990000499975,True
hmt_mt - single_fast,detection_rate,0.4444931773879143,0.12909092064570993,0.4463450292397661,0.14381797686995132,-0.0018518518518518545,-0.01457115009746589,0.010624999999999983,0.7719614019299035,57,120,0.7719614019299035,False
hmt_mt - single_fast,healthy_fa_rate,0.08506944444444445,0.07275183115998118,0.08993055555555556,0.07166076968551428,-0.004861111111111111,-0.011805555555555557,0.0020833333333333333,0.17074146292685366,21,120,0.3414829258537073,False
hmt_mt - single_fast,mean_lead_all,0.43791423001949314,0.27287647663951387,0.41203703703703703,0.2626379953836974,0.025877192982456134,-0.004338450292397664,0.05570175438596491,0.09444527773611319,67,120,0.28333583320833955,False
hmt_full - esn_cusum_max,episode_auc,0.7841232131254061,0.050715813025951684,0.7825708658219624,0.046825765227590965,0.0015523473034437815,-0.0025493674870045555,0.005831785047108515,0.4739763011849408,59,120,0.9038548072596371,False
hmt_full - esn_cusum_max,detection_rate,0.46325536062378164,0.11731280559780567,0.43879142300194923,0.1274293574211956,0.024463937621832358,0.011207358674463935,0.037621832358674466,0.00044997750112494374,74,120,0.001799910004499775,True
hmt_full - esn_cusum_max,healthy_fa_rate,0.08576388888888889,0.07293208787174607,0.08854166666666667,0.0809466523553899,-0.00277777777777778,-0.01076388888888889,0.00486111111111111,0.45192740362981854,25,120,0.9038548072596371,False
hmt_full - esn_cusum_max,mean_lead_all,0.4805555555555555,0.27362580299063555,0.4432261208576998,0.2670467927147281,0.037329434697855754,0.008673245614035091,0.0672027290448343,0.014049297535123243,65,120,0.04214789260536973,True
hmt_mt - esn_cusum_max,episode_auc,0.7830774853801169,0.052853288711682316,0.7825708658219624,0.046825765227590965,0.0005066195581546288,-0.0037433499837557036,0.004898777615334606,0.824358782060897,58,120,1.0,False
hmt_mt - esn_cusum_max,detection_rate,0.4444931773879143,0.12909092064570993,0.43879142300194923,0.1274293574211956,0.005701754385964906,-0.0074074074074074086,0.0183248050682261,0.38978051097445127,68,120,1.0,False
hmt_mt - esn_cusum_max,healthy_fa_rate,0.08506944444444445,0.07275183115998118,0.08854166666666667,0.0809466523553899,-0.0034722222222222233,-0.01215277777777778,0.00486111111111111,0.39963001849907503,24,120,1.0,False
hmt_mt - esn_cusum_max,mean_lead_all,0.43791423001949314,0.27287647663951387,0.4432261208576998,0.2670467927147281,-0.005311890838206625,-0.026023391812865497,0.015253411306042882,0.6277686115694215,53,120,1.0,False
