replicate,episode_auc.esn_cusum_max,detection_rate.esn_cusum_max,healthy_fa_rate.esn_cusum_max,mean_lead_all.esn_cusum_max,det[goal_drift].esn_cusum_max,episode_auc.hmt_single,detection_rate.hmt_single,healthy_fa_rate.hmt_single,mean_lead_all.hmt_single,det[goal_drift].hmt_single,episode_auc.hmt_mt,detection_rate.hmt_mt,healthy_fa_rate.hmt_mt,mean_lead_all.hmt_mt,det[goal_drift].hmt_mt,episode_auc.hmt_h,detection_rate.hmt_h,healthy_fa_rate.hmt_h,mean_lead_all.hmt_h,det[goal_drift].hmt_h,episode_auc.hmt_full,detection_rate.hmt_full,healthy_fa_rate.hmt_full,mean_lead_all.hmt_full,det[goal_drift].hmt_full,episode_auc.single_fast,detection_rate.single_fast,healthy_fa_rate.single_fast,mean_lead_all.single_fast,det[goal_drift].single_fast
0,0.7750974658869395,0.3684210526315789,0.041666666666666664,0.21637426900584794,0.045454545454545456,0.7631578947368421,0.3684210526315789,0.08333333333333333,0.2222222222222222,0.045454545454545456,0.7655945419103314,0.2573099415204678,0.0,0.2046783625730994,0.0,0.7768031189083819,0.28654970760233917,0.0,0.2046783625730994,0.045454545454545456,0.7680311890838206,0.30409356725146197,0.041666666666666664,0.21052631578947367,0.045454545454545456,0.7721734892787524,0.24561403508771928,0.08333333333333333,0.023391812865497075,0.045454545454545456
1,0.7348927875243664,0.49122807017543857,0.08333333333333333,0.5263157894736842,0.2727272727272727,0.7290448343079922,0.4502923976608187,0.08333333333333333,0.4327485380116959,0.18181818181818182,0.7412280701754386,0.5146198830409356,0.08333333333333333,0.6842105263157895,0.2727272727272727,0.7222222222222222,0.40350877192982454,0.125,0.3567251461988304,0.0,0.729044834307992,0.5029239766081871,0.125,0.6900584795321637,0.2727272727272727,0.7246588693957116,0.38596491228070173,0.08333333333333333,0.27485380116959063,0.0
2,0.7285575048732943,0.5146198830409356,0.16666666666666666,0.6783625730994152,0.045454545454545456,0.7171052631578947,0.4152046783625731,0.125,0.29239766081871343,0.045454545454545456,0.7163742690058478,0.4269005847953216,0.125,0.49707602339181284,0.045454545454545456,0.6737329434697856,0.3742690058479532,0.16666666666666666,0.28654970760233917,0.045454545454545456,0.6998050682261208,0.43859649122807015,0.16666666666666666,0.49707602339181284,0.045454545454545456,0.7853313840155944,0.49122807017543857,0.16666666666666666,0.38011695906432746,0.09090909090909091
3,0.7794834307992203,0.4269005847953216,0.0,0.42105263157894735,0.0,0.8026315789473684,0.42105263157894735,0.041666666666666664,0.3684210526315789,0.0,0.8001949317738791,0.4152046783625731,0.041666666666666664,0.34502923976608185,0.0,0.7763157894736842,0.4152046783625731,0.0,0.39766081871345027,0.0,0.7772904483430799,0.4152046783625731,0.041666666666666664,0.34502923976608185,0.0,0.8170077972709552,0.4152046783625731,0.0,0.5087719298245614,0.0
4,0.7283138401559454,0.42105263157894735,0.08333333333333333,0.25146198830409355,0.045454545454545456,0.725877192982456,0.4269005847953216,0.08333333333333333,0.2573099415204678,0.045454545454545456,0.7241715399610136,0.45614035087719296,0.08333333333333333,0.3684210526315789,0.09090909090909091,0.7387914230019492,0.4853801169590643,0.08333333333333333,0.2982456140350877,0.13636363636363635,0.7370857699805069,0.4678362573099415,0.08333333333333333,0.38011695906432746,0.13636363636363635,0.7417153996101364,0.43859649122807015,0.08333333333333333,0.2982456140350877,0.09090909090909091
5,0.8170077972709551,0.3684210526315789,0.0,0.3742690058479532,0.045454545454545456,0.8391812865497076,0.32748538011695905,0.0,0.36257309941520466,0.0,0.8162768031189084,0.26900584795321636,0.0,0.2222222222222222,0.0,0.8218810916179337,0.2982456140350877,0.0,0.27485380116959063,0.0,0.8306530214424951,0.26900584795321636,0.0,0.2222222222222222,0.0,0.8023879142300195,0.26900584795321636,0.0,0.2046783625730994,0.0
6,0.7870370370370371,0.4152046783625731,0.041666666666666664,0.6198830409356725,0.0,0.8077485380116959,0.4152046783625731,0.041666666666666664,0.6198830409356725,0.0,0.7860623781676412,0.391812865497076,0.041666666666666664,0.5789473684210527,0.0,0.8004385964912281,0.4327485380116959,0.041666666666666664,0.6081871345029239,0.0,0.7863060428849902,0.45614035087719296,0.041666666666666664,0.695906432748538,0.0,0.8233430799220272,0.42105263157894735,0.041666666666666664,0.6198830409356725,0.0
7,0.7865497076023392,0.32748538011695905,0.041666666666666664,0.23391812865497075,0.045454545454545456,0.7694931773879142,0.28654970760233917,0.041666666666666664,0.23976608187134502,0.045454545454545456,0.7809454191033138,0.4619883040935672,0.041666666666666664,0.2982456140350877,0.09090909090909091,0.8004385964912281,0.3684210526315789,0.041666666666666664,0.24561403508771928,0.045454545454545456,0.7999512670565302,0.4853801169590643,0.041666666666666664,0.3216374269005848,0.13636363636363635,0.8326023391812866,0.4853801169590643,0.0,0.3216374269005848,0.13636363636363635
8,0.6961500974658869,0.47953216374269003,0.125,0.30994152046783624,0.13636363636363635,0.7005360623781676,0.4152046783625731,0.125,0.2573099415204678,0.13636363636363635,0.6798245614035088,0.4853801169590643,0.125,0.17543859649122806,0.13636363636363635,0.7190545808966861,0.543859649122807,0.125,0.30994152046783624,0.13636363636363635,0.7066276803118908,0.5730994152046783,0.125,0.6140350877192983,0.13636363636363635,0.7412280701754386,0.47368421052631576,0.08333333333333333,0.3391812865497076,0.13636363636363635
9,0.8845029239766082,0.38011695906432746,0.0,0.30409356725146197,0.09090909090909091,0.8730506822612086,0.3567251461988304,0.0,0.18128654970760233,0.09090909090909091,0.8754873294346979,0.38596491228070173,0.0,0.25146198830409355,0.09090909090909091,0.8815789473684211,0.4327485380116959,0.08333333333333333,0.2982456140350877,0.09090909090909091,0.8735380116959064,0.43859649122807015,0.0,0.5964912280701754,0.09090909090909091,0.9000974658869395,0.4152046783625731,0.0,0.22807017543859648,0.09090909090909091
10,0.7863060428849902,0.6198830409356725,0.16666666666666666,0.9766081871345029,0.3181818181818182,0.7809454191033138,0.6257309941520468,0.20833333333333334,0.9766081871345029,0.36363636363636365,0.7953216374269007,0.6023391812865497,0.125,0.9707602339181286,0.2727272727272727,0.8148148148148149,0.631578947368421,0.25,0.9941520467836257,0.36363636363636365,0.7992202729044834,0.6023391812865497,0.125,0.9707602339181286,0.2727272727272727,0.7980019493177388,0.5906432748538012,0.125,0.9122807017543859,0.18181818181818182
11,0.8711013645224172,0.34502923976608185,0.0,0.25146198830409355,0.09090909090909091,0.8754873294346979,0.2982456140350877,0.0,0.23391812865497075,0.045454545454545456,0.8499025341130603,0.4853801169590643,0.0,0.3157894736842105,0.13636363636363635,0.891569200779727,0.4152046783625731,0.0,0.2573099415204678,0.09090909090909091,0.8735380116959065,0.5380116959064327,0.0,0.5497076023391813,0.18181818181818182,0.8401559454191032,0.5672514619883041,0.041666666666666664,0.5789473684210527,0.13636363636363635
12,0.7785087719298245,0.6023391812865497,0.20833333333333334,0.4678362573099415,0.18181818181818182,0.7892300194931774,0.6140350877192983,0.20833333333333334,0.5497076023391813,0.3181818181818182,0.7760721247563352,0.5672514619883041,0.25,0.5029239766081871,0.18181818181818182,0.7870370370370371,0.5964912280701754,0.25,0.7485380116959064,0.2727272727272727,0.7909356725146198,0.5730994152046783,0.25,0.7719298245614035,0.18181818181818182,0.8016569200779727,0.6783625730994152,0.20833333333333334,0.7076023391812866,0.45454545454545453
13,0.7999512670565302,0.2631578947368421,0.0,0.23391812865497075,0.045454545454545456,0.7826510721247563,0.29239766081871343,0.0,0.23391812865497075,0.045454545454545456,0.7746101364522416,0.42105263157894735,0.0,0.2982456140350877,0.09090909090909091,0.7846003898635477,0.2631578947368421,0.0,0.22807017543859648,0.045454545454545456,0.7777777777777778,0.4327485380116959,0.0,0.2982456140350877,0.09090909090909091,0.7877680311890837,0.42105263157894735,0.0,0.23976608187134502,0.09090909090909091
14,0.7653508771929824,0.4152046783625731,0.041666666666666664,0.32748538011695905,0.045454545454545456,0.7619395711500975,0.42105263157894735,0.041666666666666664,0.30994152046783624,0.045454545454545456,0.7707115009746588,0.47953216374269003,0.041666666666666664,0.3508771929824561,0.09090909090909091,0.7417153996101364,0.4093567251461988,0.041666666666666664,0.28654970760233917,0.045454545454545456,0.7731481481481481,0.4619883040935672,0.041666666666666664,0.40350877192982454,0.09090909090909091,0.7753411306042886,0.5497076023391813,0.125,0.6608187134502924,0.18181818181818182
15,0.7390350877192983,0.543859649122807,0.125,0.3567251461988304,0.22727272727272727,0.7080896686159843,0.5497076023391813,0.16666666666666666,0.40350877192982454,0.2727272727272727,0.7517056530214424,0.6081871345029239,0.25,0.6432748538011696,0.3181818181818182,0.712475633528265,0.5497076023391813,0.25,0.36257309941520466,0.3181818181818182,0.7558479532163742,0.5906432748538012,0.20833333333333334,0.7251461988304093,0.22727272727272727,0.7904483430799221,0.5906432748538012,0.125,0.631578947368421,0.22727272727272727
16,0.7711988304093568,0.2807017543859649,0.0,0.19883040935672514,0.0,0.7716861598440545,0.2807017543859649,0.0,0.2046783625730994,0.0,0.780214424951267,0.34502923976608185,0.041666666666666664,0.32748538011695905,0.0,0.780458089668616,0.26900584795321636,0.0,0.2222222222222222,0.0,0.7855750487329434,0.34502923976608185,0.041666666666666664,0.32748538011695905,0.0,0.7999512670565302,0.22807017543859648,0.041666666666666664,0.14035087719298245,0.0
17,0.7339181286549709,0.49122807017543857,0.08333333333333333,0.6783625730994152,0.045454545454545456,0.7602339181286549,0.47368421052631576,0.08333333333333333,0.7251461988304093,0.045454545454545456,0.7353801169590642,0.5380116959064327,0.08333333333333333,0.7543859649122807,0.09090909090909091,0.746832358674464,0.47953216374269003,0.08333333333333333,0.7543859649122807,0.045454545454545456,0.7643762183235868,0.5029239766081871,0.08333333333333333,0.7543859649122807,0.045454545454545456,0.7453703703703703,0.5380116959064327,0.08333333333333333,0.695906432748538,0.09090909090909091
18,0.8847465886939572,0.36257309941520466,0.0,0.2982456140350877,0.045454545454545456,0.878411306042885,0.3333333333333333,0.0,0.28654970760233917,0.045454545454545456,0.9064327485380117,0.3216374269005848,0.0,0.4853801169590643,0.0,0.8654970760233918,0.29239766081871343,0.0,0.26900584795321636,0.0,0.8908382066276803,0.2982456140350877,0.0,0.26900584795321636,0.0,0.9032651072124757,0.27485380116959063,0.0,0.22807017543859648,0.0
19,0.800925925925926,0.5964912280701754,0.125,0.9707602339181286,0.22727272727272727,0.8125,0.5964912280701754,0.125,0.9532163742690059,0.22727272727272727,0.790448343079922,0.543859649122807,0.125,0.6900584795321637,0.18181818181818182,0.8053118908382065,0.5672514619883041,0.125,0.7134502923976608,0.13636363636363635,0.8070175438596492,0.5614035087719298,0.125,0.6900584795321637,0.18181818181818182,0.7994639376218323,0.5964912280701754,0.125,0.7485380116959064,0.22727272727272727
20,0.7863060428849902,0.5847953216374269,0.125,0.8070175438596491,0.3181818181818182,0.7863060428849903,0.5614035087719298,0.08333333333333333,0.8187134502923976,0.22727272727272727,0.7461013645224172,0.5497076023391813,0.08333333333333333,0.7777777777777778,0.09090909090909091,0.7821637426900584,0.5614035087719298,0.08333333333333333,0.8187134502923976,0.18181818181818182,0.7546296296296295,0.5672514619883041,0.08333333333333333,0.783625730994152,0.22727272727272727,0.7614522417153996,0.4444444444444444,0.08333333333333333,0.2807017543859649,0.09090909090909091
21,0.780458089668616,0.0935672514619883,0.0,0.005847953216374269,0.045454545454545456,0.7960526315789473,0.04678362573099415,0.0,0.005847953216374269,0.045454545454545456,0.7470760233918128,0.09941520467836257,0.0,0.017543859649122806,0.045454545454545456,0.7960526315789473,0.05263157894736842,0.0,0.005847953216374269,0.045454545454545456,0.7677875243664717,0.14619883040935672,0.0,0.023391812865497075,0.045454545454545456,0.7134502923976608,0.14619883040935672,0.041666666666666664,0.011695906432748537,0.09090909090909091
22,0.7521929824561403,0.5789473684210527,0.20833333333333334,0.8070175438596491,0.13636363636363635,0.7582846003898635,0.5847953216374269,0.16666666666666666,0.8070175438596491,0.18181818181818182,0.7692495126705653,0.5906432748538012,0.16666666666666666,0.8187134502923976,0.18181818181818182,0.7665692007797271,0.5672514619883041,0.16666666666666666,0.7134502923976608,0.13636363636363635,0.7580409356725145,0.5730994152046783,0.16666666666666666,0.7076023391812866,0.13636363636363635,0.7789961013645225,0.5847953216374269,0.20833333333333334,0.8187134502923976,0.18181818181818182
23,0.7872807017543859,0.3216374269005848,0.041666666666666664,0.09941520467836257,0.045454545454545456,0.7799707602339181,0.28654970760233917,0.0,0.08771929824561403,0.0,0.8301656920077972,0.34502923976608185,0.041666666666666664,0.0935672514619883,0.045454545454545456,0.7875243664717348,0.3157894736842105,0.041666666666666664,0.0935672514619883,0.045454545454545456,0.8218810916179338,0.47368421052631576,0.041666666666666664,0.23976608187134502,0.045454545454545456,0.8425925925925927,0.1111111111111111,0.041666666666666664,0.07602339181286549,0.0
24,0.7314814814814814,0.24561403508771928,0.0,0.22807017543859648,0.045454545454545456,0.7275828460038986,0.26900584795321636,0.0,0.24561403508771928,0.045454545454545456,0.7012670565302144,0.2573099415204678,0.0,0.11695906432748537,0.09090909090909091,0.7112573099415204,0.2631578947368421,0.0,0.25146198830409355,0.045454545454545456,0.70224171539961,0.32748538011695905,0.0,0.12280701754385964,0.09090909090909091,0.7022417153996101,0.29239766081871343,0.0,0.19883040935672514,0.13636363636363635
25,0.7592592592592592,0.23976608187134502,0.0,0.21052631578947367,0.0,0.7587719298245613,0.2222222222222222,0.0,0.21637426900584794,0.0,0.7261208576998051,0.30994152046783624,0.125,0.23391812865497075,0.045454545454545456,0.7660818713450293,0.23976608187134502,0.0,0.21637426900584794,0.045454545454545456,0.7424463937621831,0.3333333333333333,0.08333333333333333,0.23391812865497075,0.045454545454545456,0.7387914230019493,0.2573099415204678,0.08333333333333333,0.08187134502923976,0.045454545454545456
26,0.7146686159844056,0.4269005847953216,0.125,0.32748538011695905,0.045454545454545456,0.7268518518518519,0.38596491228070173,0.125,0.22807017543859648,0.045454545454545456,0.7124756335282652,0.5029239766081871,0.08333333333333333,0.30409356725146197,0.13636363636363635,0.709307992202729,0.39766081871345027,0.125,0.23391812865497075,0.045454545454545456,0.7151559454191033,0.5029239766081871,0.08333333333333333,0.30409356725146197,0.13636363636363635,0.7083333333333333,0.45614035087719296,0.08333333333333333,0.28654970760233917,0.09090909090909091
27,0.7921539961013646,0.5321637426900585,0.2916666666666667,0.7719298245614035,0.045454545454545456,0.8055555555555556,0.5497076023391813,0.16666666666666666,0.783625730994152,0.045454545454545456,0.8194444444444445,0.5263157894736842,0.16666666666666666,0.7777777777777778,0.045454545454545456,0.8031189083820663,0.5321637426900585,0.16666666666666666,0.7777777777777778,0.045454545454545456,0.8131091617933723,0.5263157894736842,0.16666666666666666,0.7777777777777778,0.045454545454545456,0.8165204678362573,0.4152046783625731,0.125,0.4678362573099415,0.13636363636363635
