contrast,metric,a_mean,a_sd,b_mean,b_sd,paired_mean,ci_lo,ci_hi,p_perm,wins,n,p_holm,significant
hmt_mt - hmt_single,episode_auc,0.8708791666666669,0.013963513047848231,0.8779833333333332,0.013575974758494305,-0.007104166666666656,-0.010227135416666693,-0.003960312499999952,0.00034998250087495624,3,20,0.0010499475026248687,True
hmt_mt - hmt_single,detection_rate,0.71875,0.07007280048935574,0.743,0.05237516486596336,-0.024250000000000015,-0.03800000000000002,-0.013000000000000012,0.00044997750112494374,3,20,0.0010499475026248687,True
hmt_mt - hmt_single,healthy_fa_rate,0.05791666666666667,0.022043782855333597,0.06041666666666666,0.021438576750787707,-0.0024999999999999988,-0.011249999999999998,0.006666666666666666,0.6447677616119194,8,20,0.6447677616119194,False
hmt_mt - hmt_single,mean_lead_all,4.8645,0.8172432801481871,5.314,0.8973375824304393,-0.4494999999999999,-0.6260125,-0.2729937500000001,0.000199990000499975,2,20,0.0007999600019999,True
hmt_full - hmt_mt,episode_auc,0.8585208333333334,0.012800992371755963,0.8708791666666669,0.013963513047848231,-0.012358333333333332,-0.015477135416666685,-0.009174895833333314,4.999750012499375e-05,1,20,0.000199990000499975,True
hmt_full - hmt_mt,detection_rate,0.68525,0.06787129848393013,0.71875,0.07007280048935574,-0.033499999999999995,-0.05674999999999999,-0.013999999999999995,0.0024998750062496873,5,20,0.004999750012499375,True
hmt_full - hmt_mt,healthy_fa_rate,0.05708333333333333,0.015120132970732485,0.05791666666666667,0.022043782855333597,-0.0008333333333333341,-0.010416666666666666,0.008333333333333333,0.8377581120943953,9,20,0.8377581120943953,False
hmt_full - hmt_mt,mean_lead_all,4.118,0.7246294879018118,4.8645,0.8172432801481871,-0.7464999999999999,-1.0372687500000002,-0.47899375,4.999750012499375e-05,0,20,0.000199990000499975,True
hmt_h - hmt_single,episode_auc,0.8715624999999999,0.013148732372806745,0.8779833333333332,0.013575974758494305,-0.006420833333333343,-0.008814635416666692,-0.0038957812499999887,9.99950002499875e-05,3,20,0.0002999850007499625,True
hmt_h - hmt_single,detection_rate,0.71925,0.058765255578087074,0.743,0.05237516486596336,-0.02375000000000001,-0.03425,-0.014250000000000013,0.00014999250037498125,1,20,0.0002999850007499625,True
hmt_h - hmt_single,healthy_fa_rate,0.05791666666666667,0.022697315450400095,0.06041666666666666,0.021438576750787707,-0.002499999999999999,-0.011249999999999998,0.0058333333333333345,0.6324683765811709,10,20,0.6324683765811709,False
hmt_h - hmt_single,mean_lead_all,4.7455,0.8412254532275487,5.314,0.8973375824304393,-0.5684999999999999,-0.7485062500000002,-0.3979937499999999,4.999750012499375e-05,1,20,0.000199990000499975,True
hmt_mt - single_fast,episode_auc,0.8708791666666669,0.013963513047848231,0.8676416666666664,0.0170143257492548,0.00323750000000001,-0.0014564062500000312,0.008002291666666666,0.19879006049697515,12,20,0.5963701814909255,False
hmt_mt - single_fast,detection_rate,0.71875,0.07007280048935574,0.68625,0.08435318918876623,0.0325,0.01875,0.046750000000000014,0.000199990000499975,17,20,0.0007999600019999,True
hmt_mt - single_fast,healthy_fa_rate,0.05791666666666667,0.022043782855333597,0.060416666666666674,0.0237055216012212,-0.0024999999999999996,-0.014583333333333332,0.009583333333333333,0.7129643517824109,6,20,0.7129643517824109,False
hmt_mt - single_fast,mean_lead_all,4.8645,0.8172432801481871,4.9975000000000005,1.0312517942568122,-0.133,-0.3392562500000001,0.06349999999999993,0.22048897555122243,9,20,0.5963701814909255,False
hmt_full - esn_cusum_max,episode_auc,0.8585208333333334,0.012800992371755963,0.8778874999999999,0.01281371749314583,-0.019366666666666654,-0.023375052083333323,-0.015164270833333314,4.999750012499375e-05,2,20,0.000199990000499975,True
hmt_full - esn_cusum_max,detection_rate,0.68525,0.06787129848393013,0.7385,0.0653150260780699,-0.053250000000000006,-0.07825000000000001,-0.031000000000000007,9.99950002499875e-05,3,20,0.000199990000499975,True
hmt_full - esn_cusum_max,healthy_fa_rate,0.05708333333333333,0.015120132970732485,0.06041666666666666,0.018510902429971637,-0.0033333333333333327,-0.014166666666666666,0.007499999999999998,0.5950702464876756,9,20,0.5950702464876756,False
hmt_full - esn_cusum_max,mean_lead_all,4.118,0.7246294879018118,5.3004999999999995,0.9082457063801044,-1.1824999999999999,-1.4985062500000002,-0.8699937500000002,4.999750012499375e-05,0,20,0.000199990000499975,True
hmt_mt - esn_cusum_max,episode_auc,0.8708791666666669,0.013963513047848231,0.8778874999999999,0.01281371749314583,-0.007008333333333322,-0.01007708333333329,-0.003912447916666637,0.00039998000099995,3,20,0.0015999200039998,True
hmt_mt - esn_cusum_max,detection_rate,0.71875,0.07007280048935574,0.7385,0.0653150260780699,-0.01975000000000001,-0.03225000000000002,-0.007750000000000007,0.006749662516874156,5,20,0.013499325033748313,True
hmt_mt - esn_cusum_max,healthy_fa_rate,0.05791666666666667,0.022043782855333597,0.06041666666666666,0.018510902429971637,-0.002499999999999999,-0.011666666666666664,0.0075,0.6835658217089146,6,20,0.6835658217089146,False
hmt_mt - esn_cusum_max,mean_lead_all,4.8645,0.8172432801481871,5.3004999999999995,0.9082457063801044,-0.4360000000000001,-0.62650625,-0.2402375000000002,0.0004999750012499375,2,20,0.0015999200039998,True
