replicate,episode_auc.esn_cusum_max,detection_rate.esn_cusum_max,healthy_fa_rate.esn_cusum_max,mean_lead_all.esn_cusum_max,det[goal_drift].esn_cusum_max,episode_auc.hmt_single,detection_rate.hmt_single,healthy_fa_rate.hmt_single,mean_lead_all.hmt_single,det[goal_drift].hmt_single,episode_auc.hmt_mt,detection_rate.hmt_mt,healthy_fa_rate.hmt_mt,mean_lead_all.hmt_mt,det[goal_drift].hmt_mt,episode_auc.hmt_h,detection_rate.hmt_h,healthy_fa_rate.hmt_h,mean_lead_all.hmt_h,det[goal_drift].hmt_h,episode_auc.hmt_full,detection_rate.hmt_full,healthy_fa_rate.hmt_full,mean_lead_all.hmt_full,det[goal_drift].hmt_full,episode_auc.single_fast,detection_rate.single_fast,healthy_fa_rate.single_fast,mean_lead_all.single_fast,det[goal_drift].single_fast
0,0.8702083333333334,0.7,0.058333333333333334,4.705,0.05,0.8679166666666666,0.725,0.08333333333333333,4.885,0.075,0.8735833333333333,0.705,0.058333333333333334,4.535,0.0,0.8637916666666667,0.705,0.1,4.34,0.075,0.8715833333333334,0.73,0.09166666666666666,4.505,0.025,0.8540833333333334,0.605,0.058333333333333334,4.11,0.025
1,0.8779166666666666,0.66,0.016666666666666666,3.54,0.0,0.87625,0.65,0.008333333333333333,3.34,0.0,0.8732083333333335,0.6,0.016666666666666666,3.175,0.0,0.8705833333333333,0.615,0.025,3.02,0.0,0.8494166666666667,0.625,0.05,3.15,0.0,0.8575833333333333,0.5,0.016666666666666666,2.725,0.0
2,0.8928333333333333,0.76,0.05,5.98,0.025,0.8937083333333334,0.765,0.05,5.865,0.05,0.873125,0.755,0.058333333333333334,5.37,0.025,0.885875,0.74,0.058333333333333334,5.76,0.025,0.865875,0.74,0.06666666666666667,5.135,0.025,0.8725,0.72,0.075,5.805,0.05
3,0.8721666666666666,0.78,0.06666666666666667,5.745,0.0,0.8733333333333334,0.775,0.08333333333333333,5.85,0.0,0.8603333333333332,0.74,0.05,4.93,0.0,0.8561666666666666,0.755,0.1,5.215,0.0,0.8377083333333333,0.63,0.05,3.44,0.0,0.8630416666666667,0.725,0.075,5.45,0.0
4,0.8634166666666667,0.75,0.058333333333333334,5.765,0.0,0.8575,0.755,0.058333333333333334,6.055,0.0,0.8452083333333332,0.72,0.058333333333333334,4.99,0.0,0.8529166666666667,0.75,0.058333333333333334,5.62,0.0,0.8461249999999999,0.73,0.06666666666666667,4.93,0.025,0.862125,0.74,0.058333333333333334,6.04,0.0
5,0.8574583333333334,0.77,0.09166666666666666,5.525,0.0,0.8661666666666668,0.745,0.058333333333333334,5.105,0.0,0.8517083333333333,0.73,0.06666666666666667,5.045,0.0,0.8622499999999998,0.725,0.041666666666666664,4.455,0.0,0.8445,0.715,0.058333333333333334,4.23,0.0,0.8559999999999999,0.705,0.075,4.84,0.025
6,0.8928750000000001,0.775,0.041666666666666664,6.655,0.0,0.8958333333333333,0.78,0.041666666666666664,6.765,0.0,0.8902500000000001,0.765,0.03333333333333333,5.68,0.0,0.8869583333333333,0.775,0.041666666666666664,5.695,0.025,0.8708333333333333,0.77,0.03333333333333333,5.305,0.0,0.8995416666666667,0.78,0.058333333333333334,6.51,0.05
7,0.8840416666666666,0.775,0.06666666666666667,5.53,0.0,0.88475,0.785,0.05,5.715,0.025,0.8830833333333333,0.77,0.06666666666666667,5.41,0.025,0.8755833333333333,0.76,0.058333333333333334,5.27,0.0,0.8649583333333334,0.59,0.03333333333333333,3.13,0.0,0.875875,0.715,0.058333333333333334,5.315,0.025
8,0.8895,0.775,0.058333333333333334,5.715,0.05,0.8999166666666667,0.765,0.06666666666666667,6.14,0.025,0.8824583333333333,0.765,0.08333333333333333,5.67,0.025,0.895,0.755,0.09166666666666666,5.875,0.025,0.8685416666666667,0.72,0.06666666666666667,4.08,0.025,0.8873333333333334,0.74,0.06666666666666667,5.755,0.025
9,0.85225,0.565,0.058333333333333334,3.655,0.0,0.8554583333333333,0.62,0.08333333333333333,4.01,0.025,0.8474583333333333,0.6,0.075,3.77,0.025,0.8414583333333333,0.55,0.05,3.35,0.0,0.842,0.57,0.058333333333333334,3.49,0.0,0.8318333333333333,0.55,0.05,3.525,0.025
