dataset,provenance,band,n,det_esn,det_maha,gap,n_classes
aftraj,real,<=3,474,0.0063,0.0084,-0.0021,1
aftraj,real,4-8,244,0.0287,0.0164,0.0123,1
aftraj,real,>=9,53,0.5094,0.1698,0.3396,1
autogen7b,real,<=3,81,0.4815,0.3704,0.1111,3
autogen7b,real,4-8,7,0.8571,0.5714,0.2857,2
gemini,real,<=3,49,0.5306,0.4082,0.1224,4
gemini,real,4-8,29,1.0,0.8621,0.1379,4
gemini,real,>=9,1,1.0,1.0,0.0,1
langgraph7b,real,<=3,72,0.4583,0.7083,-0.25,3
langgraph7b,real,4-8,18,0.6667,0.8333,-0.1667,3
langgraph7b,real,>=9,1,1.0,1.0,0.0,1
ollama7b,real,<=3,71,0.9577,0.2394,0.7183,4
ollama7b,real,4-8,14,1.0,0.5714,0.4286,4
ollama_llama8b,real,<=3,83,0.6747,0.9036,-0.2289,4
ollama_llama8b,real,4-8,21,1.0,1.0,0.0,4
ollama_llama8b,real,>=9,12,1.0,0.9167,0.0833,3
real_gemini_long,real,<=3,18,0.0,0.1111,-0.1111,7
real_gemini_long,real,4-8,39,0.4359,0.0,0.4359,7
real_gemini_long,real,>=9,8,1.0,0.5,0.5,3
real_research3b,real,<=3,23,0.0435,0.1304,-0.087,8
real_research3b,real,4-8,19,0.5789,0.1579,0.4211,8
real_research3b,real,>=9,4,1.0,0.0,1.0,2
real_research7b,real,<=3,154,0.3701,0.4156,-0.0455,8
real_research7b,real,4-8,17,0.4118,0.4118,0.0,6
real_research7b_long,real,<=3,1,1.0,1.0,0.0,1
real_research7b_long,real,4-8,37,0.5946,0.7297,-0.1351,7
real_research7b_long,real,>=9,4,0.25,0.25,0.0,3
real_research7b_long_drift,real,<=3,1,0.0,0.0,0.0,1
real_research7b_long_drift,real,4-8,100,0.0,0.0,0.0,1
real_research7b_long_drift,real,>=9,19,0.0,0.0,0.0,1
real_research7b_long_ext,real,4-8,81,0.6049,0.3704,0.2346,7
real_research7b_long_ext,real,>=9,10,0.3,0.2,0.1,5
sim,sim,4-8,29,0.7241,0.3448,0.3793,5
sim,sim,>=9,371,0.7844,0.3801,0.4043,5
