contrast,dataset,provenance,delta_gap,n_datasets,n_positive,n_negative,p_value
<=3 -> 4-8,aftraj,real,0.0144,1,,,
<=3 -> 4-8,autogen7b,real,0.1746,1,,,
<=3 -> 4-8,gemini,real,0.0155,1,,,
<=3 -> 4-8,langgraph7b,real,0.0833,1,,,
<=3 -> 4-8,ollama7b,real,-0.2897,1,,,
<=3 -> 4-8,ollama_llama8b,real,0.2289,1,,,
<=3 -> 4-8,real_gemini_long,real,0.547,1,,,
<=3 -> 4-8,real_research3b,real,0.508,1,,,
<=3 -> 4-8,real_research7b,real,0.0455,1,,,
<=3 -> 4-8,COMBINED(real),real,0.1475,9,8.0,1.0,0.1431
4-8 -> >=9,aftraj,real,0.3273,1,,,
4-8 -> >=9,ollama_llama8b,real,0.0833,1,,,
4-8 -> >=9,real_gemini_long,real,0.0641,1,,,
4-8 -> >=9,real_research7b_long_drift,real,0.0,1,,,
4-8 -> >=9,real_research7b_long_ext,real,-0.1346,1,,,
4-8 -> >=9,sim,sim,0.025,1,,,
4-8 -> >=9,COMBINED(real),real,0.068,5,3.0,1.0,0.4991
<=3 -> >=9,aftraj,real,0.3417,1,,,
<=3 -> >=9,ollama_llama8b,real,0.3122,1,,,
<=3 -> >=9,real_gemini_long,real,0.6111,1,,,
<=3 -> >=9,COMBINED(real),real,0.4217,3,3.0,0.0,0.2513
