dropped,n,r_within_dataset,gap_ge9,n_ge9
(none),1765,0.202,0.25,112
aftraj,994,0.1755,0.1695,59
autogen7b,1677,0.2082,0.25,112
gemini,1686,0.2111,0.2523,111
langgraph7b,1674,0.2103,0.2523,111
ollama7b,1680,0.2136,0.25,112
ollama_llama8b,1649,0.2018,0.27,100
real_gemini_long,1700,0.1808,0.2308,104
real_research3b,1719,0.1888,0.2222,108
real_research7b,1594,0.2122,0.25,112
real_research7b_long,1723,0.2046,0.2593,108
real_research7b_long_drift,1645,0.2025,0.3011,93
real_research7b_long_ext,1674,0.2211,0.2647,102
