dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
sim,test-0160,goal_drift,45,25,19,False,False,False
sim,test-0161,goal_drift,44,33,10,False,False,False
sim,test-0162,goal_drift,21,10,10,False,False,False
sim,test-0163,goal_drift,37,21,15,False,False,False
sim,test-0164,goal_drift,36,23,12,False,False,False
sim,test-0165,goal_drift,38,20,17,False,False,False
sim,test-0166,goal_drift,36,24,11,False,False,False
sim,test-0167,goal_drift,32,18,13,True,False,False
sim,test-0168,goal_drift,24,8,15,False,False,False
sim,test-0169,goal_drift,44,26,17,False,False,False
sim,test-0170,goal_drift,41,27,13,False,False,False
sim,test-0171,goal_drift,25,13,11,False,False,False
sim,test-0172,goal_drift,37,20,16,False,False,False
sim,test-0173,goal_drift,32,11,20,False,False,False
sim,test-0174,goal_drift,26,14,11,False,False,False
sim,test-0175,goal_drift,41,29,11,False,False,False
sim,test-0176,goal_drift,40,24,15,False,False,False
sim,test-0177,goal_drift,33,20,12,False,False,False
sim,test-0178,goal_drift,26,10,15,False,False,False
sim,test-0179,goal_drift,30,17,12,False,False,False
sim,test-0180,goal_drift,27,18,8,False,False,False
sim,test-0181,goal_drift,44,29,14,False,False,False
sim,test-0182,goal_drift,44,32,11,False,False,False
sim,test-0183,goal_drift,26,14,11,False,False,False
sim,test-0184,goal_drift,29,15,13,False,False,False
sim,test-0185,goal_drift,38,24,13,False,False,False
sim,test-0186,goal_drift,50,41,8,False,False,False
sim,test-0187,goal_drift,38,17,20,False,False,False
sim,test-0188,goal_drift,44,30,13,False,False,False
sim,test-0189,goal_drift,39,20,18,False,False,False
sim,test-0190,goal_drift,28,10,17,False,False,False
sim,test-0191,goal_drift,44,31,12,False,False,False
sim,test-0192,goal_drift,27,16,10,False,False,False
sim,test-0193,goal_drift,33,18,14,False,False,False
sim,test-0194,goal_drift,36,19,16,False,False,False
sim,test-0195,goal_drift,35,18,16,False,False,False
sim,test-0196,goal_drift,30,12,17,False,False,False
sim,test-0197,goal_drift,31,14,16,False,False,False
sim,test-0198,goal_drift,39,25,13,False,False,False
sim,test-0199,goal_drift,39,18,20,False,False,False
sim,test-0200,goal_drift,37,19,17,False,False,False
sim,test-0201,goal_drift,42,25,16,False,False,False
sim,test-0202,goal_drift,24,15,8,False,False,False
sim,test-0203,goal_drift,34,16,17,False,False,False
sim,test-0204,goal_drift,45,33,11,False,False,False
sim,test-0205,goal_drift,29,15,13,False,False,False
sim,test-0206,goal_drift,37,22,14,False,False,False
sim,test-0207,goal_drift,46,31,14,False,False,False
sim,test-0208,goal_drift,38,18,19,False,False,False
