dataset,monitor,healthy_len_score_spearman,raw_auroc,length_matched_auroc,n_healthy,n_injected,n_matched
sim,esn_cusum_max,0.34612472999540267,0.8896718750000001,0.7510986328125,160,400,256
sim,delta_mahalanobis,0.03406985298681784,0.78553125,0.68292236328125,160,400,256
sim,hybrid_logistic,0.2473567479930049,0.8893437500000001,0.75579833984375,160,400,256
gemini,esn_cusum_max,0.13762047064079508,0.7493670886075949,0.7288888888888889,15,79,30
gemini,delta_mahalanobis,-0.15924654459863427,0.7561181434599156,0.768888888888889,15,79,30
gemini,hybrid_logistic,0.11599439668295584,0.7308016877637131,0.7155555555555555,15,79,30
autogen7b,esn_cusum_max,0.6534877683210266,0.8328598484848484,1.0,12,88,24
autogen7b,delta_mahalanobis,0.6477502756312958,0.7736742424242424,0.8888888888888888,12,88,24
autogen7b,hybrid_logistic,0.6477502756312958,0.7765151515151515,0.8749999999999999,12,88,24
ollama7b,esn_cusum_max,-0.1294300457858868,0.9941176470588236,1.0,14,85,28
ollama7b,delta_mahalanobis,0.018490006540840973,0.8949579831932774,0.9897959183673469,14,85,28
ollama7b,hybrid_logistic,0.018490006540840973,0.9815126050420168,1.0,14,85,28
langgraph7b,esn_cusum_max,0.33062546286067784,0.8278388278388278,0.8843537414965986,21,91,42
langgraph7b,delta_mahalanobis,-0.08480398605572353,0.8854003139717427,0.9501133786848073,21,91,42
langgraph7b,hybrid_logistic,-0.09785075314121947,0.8838304552590266,0.9705215419501134,21,91,42
real_research7b,esn_cusum_max,0.08846517369293827,0.7765594541910331,0.9965277777777777,24,171,48
real_research7b,delta_mahalanobis,0.5897678246195884,0.8484405458089668,0.9965277777777778,24,171,48
real_research7b,hybrid_logistic,0.5897678246195884,0.8472222222222222,0.9947916666666666,24,171,48
real_research7b_long,esn_cusum_max,0.39279220242478635,0.7896825396825397,1.0,6,42,12
real_research7b_long,delta_mahalanobis,0.39279220242478635,0.8492063492063492,1.0,6,42,12
real_research7b_long,hybrid_logistic,0.39279220242478635,0.8571428571428572,1.0,6,42,12
real_research3b,esn_cusum_max,0.3555285645684319,0.5559006211180124,0.7346938775510204,7,46,14
real_research3b,delta_mahalanobis,-0.8046172777075037,0.6645962732919255,0.653061224489796,7,46,14
real_research3b,hybrid_logistic,-0.2993924754260479,0.6428571428571428,0.8163265306122449,7,46,14
