dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
real_research7b_long,esn_cusum_max,looping,1.0,1.0,7.0
real_research7b_long,esn_cusum_max,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,esn_cusum_max,context_corruption,0.0,,0.0
real_research7b_long,esn_cusum_max,malformed_json,0.0,,0.0
real_research7b_long,esn_cusum_max,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,esn_cusum_max,timeout,1.0,1.0,6.5
real_research7b_long,esn_cusum_max,wrong_document,0.16666666666666666,9.0,0.0
real_research7b_long,delta_mahalanobis,looping,1.0,0.0,8.0
real_research7b_long,delta_mahalanobis,tool_cascade,1.0,1.0,6.0
real_research7b_long,delta_mahalanobis,context_corruption,0.0,,0.0
real_research7b_long,delta_mahalanobis,malformed_json,0.5,7.0,0.5
real_research7b_long,delta_mahalanobis,rate_limit,1.0,0.5,7.333333333333333
real_research7b_long,delta_mahalanobis,timeout,1.0,1.0,6.833333333333333
real_research7b_long,delta_mahalanobis,wrong_document,0.5,7.0,0.3333333333333333
real_research7b_long,hybrid_weighted50,looping,1.0,1.0,7.0
real_research7b_long,hybrid_weighted50,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,hybrid_weighted50,context_corruption,0.0,,0.0
real_research7b_long,hybrid_weighted50,malformed_json,0.0,,0.0
real_research7b_long,hybrid_weighted50,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,hybrid_weighted50,timeout,1.0,1.0,6.5
real_research7b_long,hybrid_weighted50,wrong_document,0.16666666666666666,9.0,0.0
real_research7b_long,hybrid_max,looping,1.0,1.0,7.0
real_research7b_long,hybrid_max,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,hybrid_max,context_corruption,0.0,,0.0
real_research7b_long,hybrid_max,malformed_json,0.0,,0.0
real_research7b_long,hybrid_max,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,hybrid_max,timeout,1.0,1.0,6.5
real_research7b_long,hybrid_max,wrong_document,0.16666666666666666,9.0,0.0
real_research7b_long,hybrid_gated,looping,1.0,0.0,8.0
real_research7b_long,hybrid_gated,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,hybrid_gated,context_corruption,0.0,,0.0
real_research7b_long,hybrid_gated,malformed_json,0.0,,0.0
real_research7b_long,hybrid_gated,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,hybrid_gated,timeout,1.0,1.0,6.5
real_research7b_long,hybrid_gated,wrong_document,0.16666666666666666,5.0,0.6666666666666666
real_research7b_long,hybrid_logistic,looping,1.0,0.0,8.0
real_research7b_long,hybrid_logistic,tool_cascade,1.0,1.0,6.0
real_research7b_long,hybrid_logistic,context_corruption,0.0,,0.0
real_research7b_long,hybrid_logistic,malformed_json,0.5,7.0,0.5
real_research7b_long,hybrid_logistic,rate_limit,1.0,0.5,7.333333333333333
real_research7b_long,hybrid_logistic,timeout,1.0,1.0,6.833333333333333
real_research7b_long,hybrid_logistic,wrong_document,0.3333333333333333,7.5,0.16666666666666666
