dataset,monitor,auroc_mean,auroc_std,auprc_mean,auprc_std,detection_rate_mean,detection_rate_std,healthy_fa_rate_mean,healthy_fa_rate_std,mean_lead_all_mean,mean_lead_all_std
sim,esn_cusum_max,0.8823,0.0095,0.9583,0.0045,0.7395,0.0485,0.05,0.0147,5.11,1.0985
sim,delta_mahalanobis,0.7608,0.0251,0.8969,0.0104,0.3745,0.0313,0.0488,0.019,3.5695,0.3814
sim,hybrid_weighted50,0.8609,0.0204,0.9481,0.0098,0.6265,0.0808,0.035,0.018,4.4275,1.0933
sim,hybrid_max,0.8731,0.0163,0.9545,0.0069,0.69,0.0733,0.035,0.0056,4.868,0.8458
sim,hybrid_gated,0.8412,0.0261,0.9378,0.0126,0.55,0.0749,0.0425,0.0195,3.9025,0.6803
sim,hybrid_logistic,0.8668,0.0215,0.951,0.0103,0.6575,0.0988,0.0388,0.0231,4.7035,1.3355
gemini,esn_cusum_max,0.7465,0.0051,0.9512,0.0009,0.7013,0.0113,0.28,0.0298,1.681,0.0243
gemini,delta_mahalanobis,0.7561,0.0,0.9479,0.0,0.5823,0.0,0.2,0.0,0.6709,0.0
gemini,hybrid_weighted50,0.7507,0.0032,0.9519,0.0006,0.7038,0.0113,0.32,0.0869,1.6684,0.0362
gemini,hybrid_max,0.7445,0.0043,0.9509,0.0008,0.7013,0.0113,0.28,0.0298,1.681,0.0243
gemini,hybrid_gated,0.7559,0.0042,0.953,0.0007,0.7089,0.0,0.4,0.0816,1.7747,0.034
gemini,hybrid_logistic,0.744,0.009,0.9496,0.0039,0.6962,0.0127,0.24,0.0365,1.6177,0.0547
autogen7b,esn_cusum_max,0.8221,0.008,0.9724,0.0012,0.5205,0.0051,0.0667,0.0373,0.3614,0.0124
autogen7b,delta_mahalanobis,0.7737,0.0,0.9541,0.0,0.3864,0.0,0.0833,0.0,0.1705,0.0
autogen7b,hybrid_weighted50,0.8206,0.0016,0.9727,0.0003,0.5159,0.0062,0.0833,0.0,0.35,0.0124
autogen7b,hybrid_max,0.8265,0.0054,0.9735,0.001,0.5227,0.0,0.0833,0.0,0.3841,0.0051
autogen7b,hybrid_gated,0.8112,0.0017,0.9713,0.0002,0.5023,0.0051,0.0833,0.0,0.3,0.0102
autogen7b,hybrid_logistic,0.7795,0.0048,0.9585,0.0031,0.3455,0.0172,0.0833,0.0,0.1432,0.0296
ollama7b,esn_cusum_max,0.9943,0.0007,0.9991,0.0001,0.9694,0.0105,0.0,0.0,1.6894,0.077
ollama7b,delta_mahalanobis,0.895,0.0,0.9817,0.0,0.2941,0.0,0.0,0.0,0.0353,0.0
ollama7b,hybrid_weighted50,0.9941,0.0,0.9991,0.0,0.9694,0.0105,0.0,0.0,1.6706,0.1188
ollama7b,hybrid_max,0.9941,0.0,0.9991,0.0,0.9694,0.0105,0.0,0.0,1.6894,0.077
ollama7b,hybrid_gated,0.9966,0.0006,0.9995,0.0001,0.9671,0.0053,0.0,0.0,1.7106,0.0105
ollama7b,hybrid_logistic,0.9901,0.0061,0.9984,0.001,0.2682,0.0281,0.0,0.0,0.0329,0.0268
langgraph7b,esn_cusum_max,0.8298,0.0039,0.9615,0.0008,0.5341,0.02,0.0,0.0,0.6088,0.0167
langgraph7b,delta_mahalanobis,0.8854,0.0,0.9685,0.0,0.7363,0.0,0.1429,0.0,1.5495,0.0
langgraph7b,hybrid_weighted50,0.8687,0.0211,0.9698,0.0045,0.5802,0.0333,0.0286,0.0261,0.7626,0.0715
langgraph7b,hybrid_max,0.8883,0.0353,0.9735,0.0072,0.6022,0.0506,0.0381,0.0213,0.8,0.1119
langgraph7b,hybrid_gated,0.8761,0.0238,0.9706,0.0052,0.6901,0.0092,0.0857,0.0213,0.8989,0.0546
langgraph7b,hybrid_logistic,0.881,0.0129,0.97,0.0038,0.7319,0.0125,0.1143,0.0261,1.4593,0.0684
real_research7b,esn_cusum_max,0.7675,0.0091,0.9609,0.0012,0.3696,0.0049,0.075,0.0186,0.2222,0.0
real_research7b,delta_mahalanobis,0.8484,0.0,0.9717,0.0,0.4152,0.0,0.0417,0.0,0.8304,0.0
real_research7b,hybrid_weighted50,0.8126,0.004,0.9676,0.0006,0.3626,0.0072,0.0583,0.0228,0.2211,0.0026
real_research7b,hybrid_max,0.8179,0.0036,0.9682,0.0006,0.3696,0.0049,0.075,0.0186,0.2222,0.0
real_research7b,hybrid_gated,0.8454,0.0044,0.9718,0.0007,0.3029,0.0282,0.075,0.0186,0.4924,0.113
real_research7b,hybrid_logistic,0.8458,0.0019,0.9712,0.0004,0.3778,0.0121,0.0417,0.0,0.7556,0.0172
real_research7b_long,esn_cusum_max,0.7817,0.0137,0.9659,0.0019,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,delta_mahalanobis,0.8492,0.0,0.9771,0.0,0.6905,0.0,0.1667,0.0,4.1429,0.0
real_research7b_long,hybrid_weighted50,0.7873,0.0087,0.9665,0.0016,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,hybrid_max,0.7802,0.0142,0.9657,0.002,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,hybrid_gated,0.781,0.0225,0.9657,0.0029,0.5476,0.0,0.1333,0.0745,3.1429,0.0
real_research7b_long,hybrid_logistic,0.8476,0.0246,0.9766,0.0042,0.6524,0.0319,0.1,0.0913,4.1,0.0426
real_research3b,esn_cusum_max,0.5733,0.01,0.8983,0.0043,0.3652,0.0389,0.3143,0.0639,0.6478,0.0659
real_research3b,delta_mahalanobis,0.6677,0.0,0.9151,0.0,0.1304,0.0,0.0,0.0,0.0,0.0
real_research3b,hybrid_weighted50,0.582,0.0111,0.9003,0.0036,0.3435,0.0446,0.2857,0.101,0.5913,0.0283
real_research3b,hybrid_max,0.6075,0.0138,0.9041,0.004,0.3739,0.0583,0.3143,0.0639,0.6391,0.0476
real_research3b,hybrid_gated,0.5646,0.008,0.892,0.0027,0.3957,0.0097,0.3429,0.0782,0.7043,0.0546
real_research3b,hybrid_logistic,0.646,0.0151,0.919,0.0109,0.3174,0.0476,0.2,0.1278,0.3609,0.05
