dataset,monitor,healthy_len_score_spearman,raw_auroc,length_matched_auroc,n_healthy,n_injected,n_matched
sim,esn_cusum_max,0.3190646151484793,0.866671875,0.7246157722348199,160,400,252
sim,delta_mahalanobis,-0.0306501723502274,0.7277031250000001,0.6010330057949106,160,400,252
sim,hybrid_logistic,0.10509530905665224,0.8380468750000001,0.696082136558327,160,400,252
gemini,esn_cusum_max,0.02555808740471908,0.7468354430379747,0.7288888888888888,15,79,30
gemini,delta_mahalanobis,-0.15924654459863427,0.7561181434599156,0.768888888888889,15,79,30
gemini,hybrid_logistic,0.0039320134468798585,0.7510548523206751,0.7377777777777778,15,79,30
autogen7b,esn_cusum_max,0.6534877683210266,0.8115530303030304,1.0,12,88,24
autogen7b,delta_mahalanobis,0.6477502756312958,0.7736742424242424,0.8888888888888888,12,88,24
autogen7b,hybrid_logistic,0.6477502756312958,0.7774621212121212,0.8958333333333333,12,88,24
ollama7b,esn_cusum_max,-0.1294300457858868,0.9949579831932773,1.0,14,85,28
ollama7b,delta_mahalanobis,0.018490006540840973,0.8949579831932774,0.9897959183673469,14,85,28
ollama7b,hybrid_logistic,-0.018490006540840973,0.9966386554621849,1.0,14,85,28
langgraph7b,esn_cusum_max,0.4546100114334321,0.8304552590266876,0.8752834467120181,21,91,42
langgraph7b,delta_mahalanobis,-0.08480398605572353,0.8854003139717427,0.9501133786848073,21,91,42
langgraph7b,hybrid_logistic,-0.03914030125648779,0.892203035060178,0.981859410430839,21,91,42
real_research7b,esn_cusum_max,0.08846517369293827,0.7736354775828461,0.9965277777777777,24,171,48
real_research7b,delta_mahalanobis,0.5897678246195884,0.8484405458089668,0.9965277777777778,24,171,48
real_research7b,hybrid_logistic,0.5897678246195884,0.8472222222222221,0.9947916666666666,24,171,48
real_research7b_long,esn_cusum_max,0.39279220242478635,0.7896825396825397,1.0,6,42,12
real_research7b_long,delta_mahalanobis,0.39279220242478635,0.8492063492063492,1.0,6,42,12
real_research7b_long,hybrid_logistic,0.39279220242478635,0.8373015873015872,1.0,6,42,12
real_research3b,esn_cusum_max,0.3555285645684319,0.5745341614906831,0.7551020408163266,7,46,14
real_research3b,delta_mahalanobis,-0.8046172777075037,0.6677018633540373,0.653061224489796,7,46,14
real_research3b,hybrid_logistic,-0.018712029714127994,0.6583850931677019,0.8367346938775511,7,46,14
