dataset,hybrid,vs,dauc_ci_lo,dauc_ci_hi,mcnemar_n10,mcnemar_n01,mcnemar_p,perm_mean_dlead,perm_p,wilcoxon_p,mcnemar_p_holm,mcnemar_reject_holm,family_size
sim,hybrid_weighted50,esn_cusum_max,-0.0188,0.0042,1,45,1.3358203432289883e-12,-1.325,4.999750012499375e-05,1.0350666401563723e-21,0.0,True,8
sim,hybrid_weighted50,delta_mahalanobis,0.0701,0.1244,121,4,4.709971235072482e-31,1.305,4.999750012499375e-05,3.233418635048576e-21,0.0,True,8
sim,hybrid_max,esn_cusum_max,-0.0142,0.0115,3,17,0.0025768280029296875,-0.647,4.999750012499375e-05,6.71278442658171e-16,0.00258,True,8
sim,hybrid_max,delta_mahalanobis,0.0756,0.1313,149,2,8.041351237527963e-42,1.982,4.999750012499375e-05,5.6942836385649036e-33,0.0,True,8
sim,hybrid_gated,esn_cusum_max,-0.0454,-0.0068,4,75,5.2434681244715905e-18,-1.815,4.999750012499375e-05,4.460291412315649e-21,0.0,True,8
sim,hybrid_gated,delta_mahalanobis,0.0574,0.1,90,0,1.6155871338926322e-27,0.815,4.999750012499375e-05,4.807763486110365e-17,0.0,True,8
sim,hybrid_logistic,esn_cusum_max,-0.0093,0.0084,2,24,1.049041748046875e-05,-0.805,4.999750012499375e-05,1.4310249500597004e-17,2e-05,True,8
sim,hybrid_logistic,delta_mahalanobis,0.0743,0.1335,141,2,1.846933796755538e-39,1.825,4.999750012499375e-05,1.0182070351399773e-24,0.0,True,8
gemini,hybrid_weighted50,esn_cusum_max,-0.0107,0.0142,0,0,1.0,0.0,1.0,1.0,1.0,False,8
gemini,hybrid_weighted50,delta_mahalanobis,-0.1062,0.1005,13,3,0.021270751953125,1.025,4.999750012499375e-05,3.422926247825568e-08,0.17017,False,8
gemini,hybrid_max,esn_cusum_max,-0.0152,0.0044,0,0,1.0,0.0,1.0,1.0,1.0,False,8
gemini,hybrid_max,delta_mahalanobis,-0.1149,0.1011,13,3,0.021270751953125,1.025,4.999750012499375e-05,3.422926247825568e-08,0.17017,False,8
gemini,hybrid_gated,esn_cusum_max,-0.0073,0.0295,0,0,1.0,0.114,0.0031998400079996,0.002699796063260186,1.0,False,8
gemini,hybrid_gated,delta_mahalanobis,-0.0991,0.1109,13,3,0.021270751953125,1.139,4.999750012499375e-05,1.3136829146193771e-08,0.17017,False,8
gemini,hybrid_logistic,esn_cusum_max,-0.0703,0.0122,0,1,1.0,-0.063,0.06324683765811709,0.025347318677468252,1.0,False,8
gemini,hybrid_logistic,delta_mahalanobis,-0.1234,0.0857,12,3,0.03515625,0.962,4.999750012499375e-05,9.106975898544054e-08,0.17578,False,8
autogen7b,hybrid_weighted50,esn_cusum_max,-0.0587,0.0408,1,1,1.0,-0.023,0.5057247137643118,0.15729920705028516,1.0,False,8
autogen7b,hybrid_weighted50,delta_mahalanobis,-0.0215,0.1345,13,2,0.00738525390625,0.182,0.015499225038748062,0.024284261323989923,0.04431,True,8
autogen7b,hybrid_max,esn_cusum_max,-0.0956,0.0718,3,2,1.0,0.011,1.0,0.7054569861112734,1.0,False,8
autogen7b,hybrid_max,delta_mahalanobis,0.0049,0.1062,12,0,0.00048828125,0.216,0.00024998750062496874,0.0003148437658638063,0.00391,True,8
autogen7b,hybrid_gated,esn_cusum_max,-0.0891,0.0452,1,2,1.0,-0.068,0.06169691515424229,0.02535721995688375,1.0,False,8
autogen7b,hybrid_gated,delta_mahalanobis,-0.0156,0.1103,12,2,0.012939453125,0.136,0.0631468426578671,0.0550519694626507,0.0647,False,8
autogen7b,hybrid_logistic,esn_cusum_max,-0.1719,0.0455,3,18,0.0014896392822265625,-0.227,0.004349782510874456,0.006379463302297441,0.01043,True,8
autogen7b,hybrid_logistic,delta_mahalanobis,-0.0091,0.0152,1,5,0.21875,-0.023,0.5049247537623119,0.15729920705028516,0.875,False,8
ollama7b,hybrid_weighted50,esn_cusum_max,-0.0038,0.0041,0,0,1.0,0.0,1.0,1.0,1.0,False,8
