dataset,monitor,healthy_len_score_spearman,raw_auroc,length_matched_auroc,n_healthy,n_injected,n_matched
sim,esn_cusum_max,0.34612472999540267,0.8896718750000001,0.7510986328125,160,400,256
sim,delta_mahalanobis,0.03406985298681784,0.78553125,0.68292236328125,160,400,256
sim,hybrid_logistic,0.2473567479930049,0.8893437500000001,0.75579833984375,160,400,256
gemini,esn_cusum_max,0.13762047064079508,0.7527426160337553,0.7466666666666666,15,79,30
gemini,delta_mahalanobis,-0.15924654459863427,0.7679324894514767,0.7866666666666667,15,79,30
gemini,hybrid_logistic,0.11599439668295584,0.751054852320675,0.7422222222222221,15,79,30
autogen7b,esn_cusum_max,0.6534877683210266,0.8328598484848484,1.0,12,88,24
autogen7b,delta_mahalanobis,0.6477502756312958,0.8077651515151516,1.0,12,88,24
autogen7b,hybrid_logistic,0.6477502756312958,0.8106060606060607,1.0,12,88,24
ollama7b,esn_cusum_max,-0.1294300457858868,0.9941176470588236,1.0,14,85,28
ollama7b,delta_mahalanobis,0.018490006540840973,0.8966386554621849,1.0,14,85,28
ollama7b,hybrid_logistic,-0.018490006540840973,0.9831932773109243,1.0,14,85,28
langgraph7b,esn_cusum_max,0.33062546286067784,0.8278388278388278,0.8843537414965986,21,91,42
langgraph7b,delta_mahalanobis,-0.08480398605572353,0.8958660387231817,0.9863945578231292,21,91,42
langgraph7b,hybrid_logistic,-0.10654859786488341,0.8880167451596023,0.9841269841269842,21,91,42
real_research7b,esn_cusum_max,0.08846517369293827,0.776803118908382,0.9965277777777777,24,171,48
real_research7b,delta_mahalanobis,0.5897678246195884,0.8491715399610136,0.9965277777777778,24,171,48
real_research7b,hybrid_logistic,0.5897678246195884,0.848196881091618,0.9947916666666666,24,171,48
real_research7b_long,esn_cusum_max,-0.13093073414159545,0.8827838827838828,1.0,6,91,12
real_research7b_long,delta_mahalanobis,0.13093073414159545,0.7252747252747253,0.9722222222222223,6,91,12
real_research7b_long,hybrid_logistic,0.39279220242478635,0.771062271062271,0.9444444444444445,6,91,12
real_research3b,esn_cusum_max,0.3555285645684319,0.5559006211180124,0.7346938775510204,7,46,14
real_research3b,delta_mahalanobis,-0.8046172777075037,0.6645962732919255,0.653061224489796,7,46,14
real_research3b,hybrid_logistic,-0.2993924754260479,0.6428571428571428,0.8163265306122449,7,46,14
ollama_llama8b,esn_cusum_max,0.3446768922328177,0.884698275862069,0.8577777777777778,16,116,30
ollama_llama8b,delta_mahalanobis,-0.36947233174023814,0.8933189655172413,0.9733333333333334,16,116,30
ollama_llama8b,hybrid_logistic,-0.11585149385075265,0.9245689655172413,0.9911111111111112,16,116,30
real_gemini_long,esn_cusum_max,0.42560965197160794,0.7935897435897435,0.9090909090909091,12,65,22
real_gemini_long,delta_mahalanobis,0.6704619532600121,0.8038461538461539,0.9008264462809917,12,65,22
real_gemini_long,hybrid_logistic,0.7385837559976605,0.8038461538461539,0.8760330578512396,12,65,22
