dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
sim,esn_cusum_max,goal_drift,0.0125,2.0,0.1375
sim,esn_cusum_max,looping,0.9625,8.0,6.3375
sim,esn_cusum_max,tool_cascade,0.975,3.5,10.6125
sim,esn_cusum_max,grounding_loss,0.975,8.0,5.15
sim,esn_cusum_max,context_corruption,0.975,6.0,8.825
sim,delta_mahalanobis,goal_drift,0.0125,0.0,0.2375
sim,delta_mahalanobis,looping,0.225,7.0,1.375
sim,delta_mahalanobis,tool_cascade,0.9625,3.0,10.775
sim,delta_mahalanobis,grounding_loss,0.075,3.0,0.6875
sim,delta_mahalanobis,context_corruption,0.6125,4.0,4.8375
sim,hybrid_weighted50,goal_drift,0.0,,0.0
sim,hybrid_weighted50,looping,0.725,9.0,4.15
sim,hybrid_weighted50,tool_cascade,0.975,3.0,10.925
sim,hybrid_weighted50,grounding_loss,0.7,10.0,2.0375
sim,hybrid_weighted50,context_corruption,0.95,7.0,7.325
sim,hybrid_max,goal_drift,0.0,,0.0
sim,hybrid_max,looping,0.875,9.0,4.9125
sim,hybrid_max,tool_cascade,0.975,3.0,11.0625
sim,hybrid_max,grounding_loss,0.9,9.0,4.1625
sim,hybrid_max,context_corruption,0.975,7.0,7.6875
sim,hybrid_gated,goal_drift,0.0125,0.0,0.2375
sim,hybrid_gated,looping,0.6375,12.0,3.0375
sim,hybrid_gated,tool_cascade,0.9625,3.0,10.7625
sim,hybrid_gated,grounding_loss,0.5625,10.0,2.175
sim,hybrid_gated,context_corruption,0.8375,7.0,5.775
sim,hybrid_logistic,goal_drift,0.0,,0.0
sim,hybrid_logistic,looping,0.8375,9.0,4.9
sim,hybrid_logistic,tool_cascade,0.975,3.0,10.95
sim,hybrid_logistic,grounding_loss,0.825,9.0,3.0625
sim,hybrid_logistic,context_corruption,0.9875,7.0,8.125
gemini,esn_cusum_max,goal_drift,0.7272727272727273,1.0,2.090909090909091
gemini,esn_cusum_max,looping,1.0,1.0,2.5555555555555554
gemini,esn_cusum_max,tool_cascade,0.8333333333333334,1.0,2.388888888888889
gemini,esn_cusum_max,context_corruption,0.3333333333333333,1.0,0.5238095238095238
gemini,delta_mahalanobis,goal_drift,0.4090909090909091,4.0,0.6363636363636364
gemini,delta_mahalanobis,looping,1.0,1.0,2.5555555555555554
gemini,delta_mahalanobis,tool_cascade,0.8888888888888888,0.5,2.5555555555555554
gemini,delta_mahalanobis,context_corruption,0.14285714285714285,0.0,0.047619047619047616
gemini,hybrid_weighted50,goal_drift,0.7272727272727273,1.0,2.090909090909091
gemini,hybrid_weighted50,looping,1.0,1.0,2.5555555555555554
gemini,hybrid_weighted50,tool_cascade,0.8333333333333334,0.0,2.5555555555555554
gemini,hybrid_weighted50,context_corruption,0.3333333333333333,1.0,0.5238095238095238
gemini,hybrid_max,goal_drift,0.7272727272727273,1.0,2.090909090909091
gemini,hybrid_max,looping,1.0,1.0,2.5555555555555554
gemini,hybrid_max,tool_cascade,0.8333333333333334,0.0,2.5555555555555554
gemini,hybrid_max,context_corruption,0.3333333333333333,1.0,0.5238095238095238
gemini,hybrid_gated,goal_drift,0.7272727272727273,1.0,2.1818181818181817
gemini,hybrid_gated,looping,1.0,1.0,2.611111111111111
gemini,hybrid_gated,tool_cascade,0.8333333333333334,0.0,2.5555555555555554
gemini,hybrid_gated,context_corruption,0.3333333333333333,1.0,0.7142857142857143
gemini,hybrid_logistic,goal_drift,0.7272727272727273,1.0,2.0454545454545454
gemini,hybrid_logistic,looping,1.0,1.0,2.5555555555555554
gemini,hybrid_logistic,tool_cascade,0.8333333333333334,1.0,2.5
gemini,hybrid_logistic,context_corruption,0.2857142857142857,2.0,0.47619047619047616
autogen7b,esn_cusum_max,looping,0.6,1.0,0.7142857142857143
autogen7b,esn_cusum_max,tool_cascade,1.0,0.0,1.3
autogen7b,esn_cusum_max,context_corruption,0.12121212121212122,2.5,0.09090909090909091
autogen7b,delta_mahalanobis,looping,0.6571428571428571,1.0,0.6857142857142857
autogen7b,delta_mahalanobis,tool_cascade,1.0,0.0,1.6
autogen7b,delta_mahalanobis,context_corruption,0.06060606060606061,3.0,0.0
autogen7b,hybrid_weighted50,looping,0.6,1.0,0.7142857142857143
autogen7b,hybrid_weighted50,tool_cascade,1.0,0.0,1.6
autogen7b,hybrid_weighted50,context_corruption,0.12121212121212122,3.0,0.09090909090909091
autogen7b,hybrid_max,looping,0.6571428571428571,1.0,0.7142857142857143
autogen7b,hybrid_max,tool_cascade,1.0,0.0,1.6
autogen7b,hybrid_max,context_corruption,0.09090909090909091,2.0,0.09090909090909091
autogen7b,hybrid_gated,looping,0.6,1.0,0.7142857142857143
autogen7b,hybrid_gated,tool_cascade,1.0,0.0,1.6
autogen7b,hybrid_gated,context_corruption,0.09090909090909091,3.0,0.030303030303030304
autogen7b,hybrid_logistic,looping,0.6571428571428571,1.0,0.6571428571428571
autogen7b,hybrid_logistic,tool_cascade,1.0,0.0,1.6
autogen7b,hybrid_logistic,context_corruption,0.06060606060606061,3.0,0.0
ollama7b,esn_cusum_max,goal_drift,0.8571428571428571,0.5,1.5238095238095237
ollama7b,esn_cusum_max,looping,1.0,0.0,2.5416666666666665
ollama7b,esn_cusum_max,tool_cascade,1.0,0.0,2.0
ollama7b,esn_cusum_max,context_corruption,1.0,0.0,2.090909090909091
ollama7b,delta_mahalanobis,goal_drift,0.047619047619047616,2.0,0.0
ollama7b,delta_mahalanobis,looping,1.0,0.0,2.9583333333333335
ollama7b,delta_mahalanobis,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,delta_mahalanobis,context_corruption,0.045454545454545456,2.0,0.0
ollama7b,hybrid_weighted50,goal_drift,0.8571428571428571,0.5,1.5238095238095237
ollama7b,hybrid_weighted50,looping,1.0,0.0,2.9583333333333335
ollama7b,hybrid_weighted50,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,hybrid_weighted50,context_corruption,1.0,0.0,2.090909090909091
ollama7b,hybrid_max,goal_drift,0.8571428571428571,0.5,1.5238095238095237
ollama7b,hybrid_max,looping,1.0,0.0,2.9583333333333335
ollama7b,hybrid_max,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,hybrid_max,context_corruption,1.0,0.0,2.090909090909091
ollama7b,hybrid_gated,goal_drift,0.9047619047619048,1.0,1.4761904761904763
ollama7b,hybrid_gated,looping,1.0,0.0,2.9583333333333335
ollama7b,hybrid_gated,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,hybrid_gated,context_corruption,0.9545454545454546,0.0,2.0454545454545454
ollama7b,hybrid_logistic,goal_drift,0.0,,0.0
ollama7b,hybrid_logistic,looping,1.0,0.0,2.9583333333333335
ollama7b,hybrid_logistic,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,hybrid_logistic,context_corruption,0.045454545454545456,2.0,0.0
langgraph7b,esn_cusum_max,looping,0.48484848484848486,2.5,0.6060606060606061
langgraph7b,esn_cusum_max,tool_cascade,1.0,0.0,2.0833333333333335
langgraph7b,esn_cusum_max,context_corruption,0.17647058823529413,2.0,0.08823529411764706
langgraph7b,delta_mahalanobis,looping,1.0,0.0,2.484848484848485
langgraph7b,delta_mahalanobis,tool_cascade,1.0,0.0,2.375
langgraph7b,delta_mahalanobis,context_corruption,0.29411764705882354,2.0,0.17647058823529413
langgraph7b,hybrid_weighted50,looping,0.6666666666666666,2.0,1.0606060606060606
langgraph7b,hybrid_weighted50,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_weighted50,context_corruption,0.14705882352941177,2.0,0.11764705882352941
langgraph7b,hybrid_max,looping,0.6666666666666666,2.0,1.0
langgraph7b,hybrid_max,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_max,context_corruption,0.14705882352941177,2.0,0.11764705882352941
langgraph7b,hybrid_gated,looping,0.9696969696969697,2.0,1.121212121212121
langgraph7b,hybrid_gated,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_gated,context_corruption,0.17647058823529413,2.0,0.11764705882352941
langgraph7b,hybrid_logistic,looping,1.0,1.0,2.212121212121212
langgraph7b,hybrid_logistic,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_logistic,context_corruption,0.29411764705882354,2.0,0.17647058823529413
real_research7b,esn_cusum_max,goal_drift,0.045454545454545456,5.0,0.0
real_research7b,esn_cusum_max,looping,1.0,2.0,0.9545454545454546
real_research7b,esn_cusum_max,tool_cascade,0.5454545454545454,3.0,0.18181818181818182
real_research7b,esn_cusum_max,context_corruption,0.045454545454545456,3.0,0.0
real_research7b,esn_cusum_max,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,esn_cusum_max,rate_limit,0.7368421052631579,3.0,0.3157894736842105
real_research7b,esn_cusum_max,timeout,0.5,2.0,0.4
real_research7b,esn_cusum_max,wrong_document,0.13636363636363635,5.0,0.0
real_research7b,delta_mahalanobis,goal_drift,0.2727272727272727,2.0,0.5454545454545454
real_research7b,delta_mahalanobis,looping,1.0,0.0,2.9545454545454546
