dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
real_research7b_long,esn_cusum_max,looping,1.0,1.0,7.0
real_research7b_long,esn_cusum_max,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,esn_cusum_max,context_corruption,0.0,,0.0
real_research7b_long,esn_cusum_max,malformed_json,0.0,,0.0
real_research7b_long,esn_cusum_max,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,esn_cusum_max,timeout,1.0,1.0,6.5
real_research7b_long,esn_cusum_max,wrong_document,0.0,,0.0
real_research7b_long,delta_mahalanobis,looping,1.0,0.0,8.0
real_research7b_long,delta_mahalanobis,tool_cascade,1.0,1.0,6.0
real_research7b_long,delta_mahalanobis,context_corruption,0.0,,0.0
real_research7b_long,delta_mahalanobis,malformed_json,0.5,7.0,0.5
real_research7b_long,delta_mahalanobis,rate_limit,1.0,0.5,7.333333333333333
real_research7b_long,delta_mahalanobis,timeout,1.0,1.0,6.833333333333333
real_research7b_long,delta_mahalanobis,wrong_document,0.3333333333333333,7.0,0.3333333333333333
real_research7b_long,hybrid_weighted50,looping,1.0,1.0,7.0
real_research7b_long,hybrid_weighted50,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,hybrid_weighted50,context_corruption,0.0,,0.0
real_research7b_long,hybrid_weighted50,malformed_json,0.0,,0.0
real_research7b_long,hybrid_weighted50,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,hybrid_weighted50,timeout,1.0,1.0,6.5
real_research7b_long,hybrid_weighted50,wrong_document,0.0,,0.0
real_research7b_long,hybrid_max,looping,1.0,1.0,7.0
real_research7b_long,hybrid_max,tool_cascade,1.0,1.0,5.333333333333333
real_research7b_long,hybrid_max,context_corruption,0.0,,0.0
real_research7b_long,hybrid_max,malformed_json,0.0,,0.0
real_research7b_long,hybrid_max,rate_limit,1.0,1.0,6.666666666666667
real_research7b_long,hybrid_max,timeout,1.0,1.0,6.5
real_research7b_long,hybrid_max,wrong_document,0.0,,0.0
real_research7b_long,hybrid_gated,looping,1.0,1.0,7.0
real_research7b_long,hybrid_gated,tool_cascade,0.8333333333333334,4.0,3.8333333333333335
real_research7b_long,hybrid_gated,context_corruption,0.0,,0.0
real_research7b_long,hybrid_gated,malformed_json,0.0,,0.0
real_research7b_long,hybrid_gated,rate_limit,1.0,2.0,6.0
real_research7b_long,hybrid_gated,timeout,1.0,2.5,5.166666666666667
real_research7b_long,hybrid_gated,wrong_document,0.0,,0.0
real_research7b_long,hybrid_logistic,looping,1.0,0.0,8.0
real_research7b_long,hybrid_logistic,tool_cascade,1.0,1.0,6.0
real_research7b_long,hybrid_logistic,context_corruption,0.0,,0.0
real_research7b_long,hybrid_logistic,malformed_json,0.5,7.0,0.5
real_research7b_long,hybrid_logistic,rate_limit,1.0,0.5,7.333333333333333
real_research7b_long,hybrid_logistic,timeout,1.0,1.0,6.833333333333333
real_research7b_long,hybrid_logistic,wrong_document,0.16666666666666666,7.0,0.3333333333333333
real_research7b_long_ext,esn_cusum_max,looping,1.0,1.0,7.0
real_research7b_long_ext,esn_cusum_max,tool_cascade,1.0,0.0,6.461538461538462
real_research7b_long_ext,esn_cusum_max,context_corruption,0.0,,0.0
real_research7b_long_ext,esn_cusum_max,malformed_json,0.15384615384615385,4.5,0.5384615384615384
real_research7b_long_ext,esn_cusum_max,rate_limit,0.8461538461538461,0.0,5.6923076923076925
real_research7b_long_ext,esn_cusum_max,timeout,1.0,1.0,6.461538461538462
real_research7b_long_ext,esn_cusum_max,wrong_document,0.0,,0.0
real_research7b_long_ext,delta_mahalanobis,looping,0.9230769230769231,5.0,2.8461538461538463
real_research7b_long_ext,delta_mahalanobis,tool_cascade,0.38461538461538464,3.0,1.6923076923076923
real_research7b_long_ext,delta_mahalanobis,context_corruption,0.0,,0.0
real_research7b_long_ext,delta_mahalanobis,malformed_json,0.0,,0.0
real_research7b_long_ext,delta_mahalanobis,rate_limit,0.8461538461538461,2.0,3.8461538461538463
real_research7b_long_ext,delta_mahalanobis,timeout,0.3076923076923077,3.5,1.2307692307692308
real_research7b_long_ext,delta_mahalanobis,wrong_document,0.0,,0.0
real_research7b_long_ext,hybrid_weighted50,looping,1.0,1.0,7.0
real_research7b_long_ext,hybrid_weighted50,tool_cascade,1.0,1.0,5.923076923076923
real_research7b_long_ext,hybrid_weighted50,context_corruption,0.0,,0.0
real_research7b_long_ext,hybrid_weighted50,malformed_json,0.0,,0.0
real_research7b_long_ext,hybrid_weighted50,rate_limit,0.8461538461538461,1.0,5.153846153846154
real_research7b_long_ext,hybrid_weighted50,timeout,1.0,1.0,6.076923076923077
real_research7b_long_ext,hybrid_weighted50,wrong_document,0.0,,0.0
real_research7b_long_ext,hybrid_max,looping,1.0,3.0,5.153846153846154
real_research7b_long_ext,hybrid_max,tool_cascade,1.0,2.0,4.230769230769231
real_research7b_long_ext,hybrid_max,context_corruption,0.0,,0.0
real_research7b_long_ext,hybrid_max,malformed_json,0.0,,0.0
real_research7b_long_ext,hybrid_max,rate_limit,0.9230769230769231,2.5,4.153846153846154
real_research7b_long_ext,hybrid_max,timeout,1.0,2.0,4.6923076923076925
real_research7b_long_ext,hybrid_max,wrong_document,0.0,,0.0
real_research7b_long_ext,hybrid_gated,looping,1.0,3.0,5.0
real_research7b_long_ext,hybrid_gated,tool_cascade,1.0,2.0,4.384615384615385
real_research7b_long_ext,hybrid_gated,context_corruption,0.0,,0.0
real_research7b_long_ext,hybrid_gated,malformed_json,0.0,,0.0
real_research7b_long_ext,hybrid_gated,rate_limit,0.8461538461538461,2.0,4.0
real_research7b_long_ext,hybrid_gated,timeout,1.0,3.0,4.384615384615385
real_research7b_long_ext,hybrid_gated,wrong_document,0.0,,0.0
real_research7b_long_ext,hybrid_logistic,looping,1.0,1.0,7.3076923076923075
