dataset,in_behavioural_study,n,n_datasets,n_content,n_behavioural,content_esn,content_gate,content_gain,grounding_stream,headroom,behavioural_esn,behavioural_gate,behavioural_delta
real_research7b_long_ext,False,91,1,39,52,0.0513,1.0,0.9487,0.6923,0.9487,0.9615,0.9615,0.0
real_research7b_long,True,42,1,18,24,0.0,0.6667,0.6667,0.1667,1.0,1.0,1.0,0.0
real_gemini_long,False,65,1,31,34,0.3226,0.9355,0.6129,0.6129,0.6774,0.4412,0.4706,0.0294
real_research7b,True,171,1,66,105,0.0758,0.4394,0.3636,0.8636,0.9242,0.5619,0.5524,-0.0095
real_research3b,True,46,1,17,29,0.2941,0.3529,0.0588,0.2353,0.7059,0.3793,0.3103,-0.069
ollama_llama8b,False,116,1,32,84,0.8438,0.875,0.0312,0.0,0.1562,0.7381,0.75,0.0119
gemini,True,79,1,21,58,0.3333,0.3333,0.0,0.0,0.6667,0.8448,0.8448,0.0
autogen7b,True,88,1,33,55,0.1212,0.1212,0.0,0.0,0.8788,0.7455,1.0,0.2545
ollama7b,True,85,1,22,63,1.0,1.0,0.0,0.0,0.0,0.9524,0.9524,0.0
langgraph7b,True,91,1,34,57,0.1765,0.1471,-0.0294,0.1176,0.8235,0.7018,1.0,0.2982
