dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
demo_real_varied_ext,esn_cusum_max,looping,1.0,1.0,4.5
demo_real_varied_ext,esn_cusum_max,malformed_json,0.5,5.5,0.25
demo_real_varied_ext,esn_cusum_max,rate_limit,1.0,1.0,2.5
demo_real_varied_ext,esn_cusum_max,wrong_document,0.75,5.0,0.25
demo_real_varied_ext,delta_mahalanobis,looping,1.0,0.0,5.5
demo_real_varied_ext,delta_mahalanobis,malformed_json,0.25,4.0,0.0
demo_real_varied_ext,delta_mahalanobis,rate_limit,1.0,0.0,3.25
demo_real_varied_ext,delta_mahalanobis,wrong_document,1.0,2.5,2.0
demo_real_varied_ext,hybrid_weighted50,looping,1.0,1.0,4.5
demo_real_varied_ext,hybrid_weighted50,malformed_json,0.5,5.5,0.25
demo_real_varied_ext,hybrid_weighted50,rate_limit,1.0,1.0,2.5
demo_real_varied_ext,hybrid_weighted50,wrong_document,0.75,5.0,0.25
demo_real_varied_ext,hybrid_max,looping,1.0,1.0,4.5
demo_real_varied_ext,hybrid_max,malformed_json,0.5,5.5,0.25
demo_real_varied_ext,hybrid_max,rate_limit,1.0,1.0,2.5
demo_real_varied_ext,hybrid_max,wrong_document,0.75,5.0,0.25
demo_real_varied_ext,hybrid_gated,looping,1.0,1.0,4.5
demo_real_varied_ext,hybrid_gated,malformed_json,0.5,4.5,0.75
demo_real_varied_ext,hybrid_gated,rate_limit,1.0,1.0,2.5
demo_real_varied_ext,hybrid_gated,wrong_document,0.25,4.0,0.25
demo_real_varied_ext,hybrid_logistic,looping,1.0,1.0,4.5
demo_real_varied_ext,hybrid_logistic,malformed_json,0.25,4.0,0.0
demo_real_varied_ext,hybrid_logistic,rate_limit,0.75,1.0,1.75
demo_real_varied_ext,hybrid_logistic,wrong_document,1.0,2.5,2.0
