dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
demo_real_varied,esn_cusum_max,looping,1.0,1.0,4.666666666666667
demo_real_varied,esn_cusum_max,malformed_json,0.6666666666666666,1.0,3.0
demo_real_varied,esn_cusum_max,rate_limit,0.6666666666666666,0.5,2.3333333333333335
demo_real_varied,esn_cusum_max,wrong_document,1.0,1.0,3.6666666666666665
demo_real_varied,delta_mahalanobis,looping,0.0,,0.0
demo_real_varied,delta_mahalanobis,malformed_json,0.0,,0.0
demo_real_varied,delta_mahalanobis,rate_limit,0.0,,0.0
demo_real_varied,delta_mahalanobis,wrong_document,0.0,,0.0
demo_real_varied,hybrid_weighted50,looping,0.0,,0.0
demo_real_varied,hybrid_weighted50,malformed_json,0.0,,0.0
demo_real_varied,hybrid_weighted50,rate_limit,0.0,,0.0
demo_real_varied,hybrid_weighted50,wrong_document,0.0,,0.0
demo_real_varied,hybrid_max,looping,0.0,,0.0
demo_real_varied,hybrid_max,malformed_json,0.0,,0.0
demo_real_varied,hybrid_max,rate_limit,0.0,,0.0
demo_real_varied,hybrid_max,wrong_document,0.0,,0.0
demo_real_varied,hybrid_gated,looping,0.0,,0.0
demo_real_varied,hybrid_gated,malformed_json,0.3333333333333333,1.0,2.0
demo_real_varied,hybrid_gated,rate_limit,0.0,,0.0
demo_real_varied,hybrid_gated,wrong_document,0.0,,0.0
demo_real_varied,hybrid_logistic,looping,0.0,,0.0
demo_real_varied,hybrid_logistic,malformed_json,0.0,,0.0
demo_real_varied,hybrid_logistic,rate_limit,0.0,,0.0
demo_real_varied,hybrid_logistic,wrong_document,0.0,,0.0
