monitor,detection_rate_mean,detection_rate_std,mean_lead_all_mean,mean_lead_all_std,episode_auc_mean,episode_auc_std,healthy_fa_rate_mean,healthy_fa_rate_std
esn_cusum_max,0.7065,0.06815882187948967,4.6129999999999995,0.9743802517497984,0.87205,0.015287029997118892,0.04375,0.015934435979977454
esn_cusum,0.642,0.021168963130016545,5.8035000000000005,0.3462459386043395,0.843375,0.007019347564722506,0.04875,0.025920551691659646
esn_full,0.506,0.08401264785733158,4.716,1.0763241844351543,0.804275,0.01886502996204224,0.06875,0.03479852726768763
esn_single,0.4734999999999999,0.08190314401779702,4.484999999999999,0.9849397189676129,0.782884375,0.016463848298051423,0.05750000000000001,0.027386127875258306
gru,0.595,0.008838834764831868,5.2715000000000005,0.3294958269841974,0.8164187500000001,0.009618145134084476,0.05500000000000001,0.012022115038544593
lstm,0.6054999999999999,0.02102082300957789,5.3740000000000006,0.3525558466399331,0.8227593749999998,0.005418717560456576,0.05625,0.026145625829189865
tcn,0.39249999999999996,0.03652909799050614,2.7035,0.18936241707371604,0.73578125,0.010306935051519936,0.04875,0.01996089927833914
linear_ar,0.607,0.005968668193156657,6.0815,0.24108219552675417,0.8132906250000002,0.009963688958224737,0.058750000000000004,0.03765592582848017
delta_mahalanobis,0.3745,0.03134485603731495,3.571,0.38150442330332157,0.7547187500000001,0.020901210388470922,0.05,0.021194781197266466
mahalanobis,0.244,0.005755432216610674,2.249,0.12767879620359832,0.690503125,0.010705162899055407,0.06,0.02053959590644373
self_drift,0.19249999999999998,0.025433737436719762,1.3785,0.20513410247932937,0.5569750000000001,0.011317881144178438,0.065,0.014388580541526674
