dataset,comparison,n,det_a,det_b,discordant_b,discordant_c,mcnemar_p,achieved_power,mde_80pct,n_for_80pct
autogen7b,logistic_vs_esn,88,0.341,0.511,3,18,0.0015,0.92,0.15,65.0
autogen7b,esn_vs_maha,88,0.511,0.386,14,3,0.0127,0.732,0.14,103.0
gemini,logistic_vs_esn,79,0.696,0.709,0,1,1.0,0.0,,622.0
gemini,esn_vs_maha,79,0.709,0.582,13,3,0.0213,0.668,0.15,103.0
langgraph7b,logistic_vs_esn,91,0.714,0.505,21,2,0.0001,0.991,0.16,46.0
langgraph7b,esn_vs_maha,91,0.505,0.736,2,23,0.0,0.996,0.16,41.0
ollama7b,logistic_vs_esn,85,0.235,0.965,0,62,0.0,1.0,0.27,10.0
ollama7b,esn_vs_maha,85,0.965,0.294,57,0,0.0,1.0,0.26,11.0
real_research3b,logistic_vs_esn,46,0.261,0.348,1,5,0.2188,0.196,,138.0
real_research3b,esn_vs_maha,46,0.348,0.13,14,4,0.0309,0.616,0.27,68.0
real_research7b,logistic_vs_esn,171,0.398,0.374,15,11,0.5572,0.083,0.09,
real_research7b,esn_vs_maha,171,0.374,0.415,10,17,0.2478,0.202,0.09,807.0
real_research7b_long,logistic_vs_esn,42,0.667,0.571,4,0,0.125,0.199,,83.0
real_research7b_long,esn_vs_maha,42,0.571,0.69,0,5,0.0625,0.393,,65.0
sim,logistic_vs_esn,400,0.725,0.78,2,24,0.0,0.997,0.04,173.0
sim,esn_vs_maha,400,0.78,0.378,163,2,0.0,1.0,0.1,19.0
