dataset,episode_id,label,kind,n_withheld,T,verifier_flagged,n_ungrounded
organic_demo7b_provoked,organic-demo-000,other,,1,11,False,0
organic_demo7b_provoked,organic-demo-001,hallucinated,weather_contradiction,2,12,False,0
organic_demo7b_provoked,organic-demo-002,arithmetic_error,,1,10,False,0
organic_demo7b_provoked,organic-demo-003,hallucinated,ungrounded_input,1,11,False,0
organic_demo7b_provoked,organic-demo-004,arithmetic_error,,1,12,True,1
organic_demo7b_provoked,organic-demo-005,incomplete,,2,12,False,0
organic_demo7b_provoked,organic-demo-006,incomplete,,0,9,False,0
organic_demo7b_provoked,organic-demo-007,arithmetic_error,,1,13,False,0
organic_demo7b_provoked,organic-demo-008,hallucinated,ungrounded_input,2,12,True,1
organic_demo7b_provoked,organic-demo-009,healthy,,0,14,False,0
organic_demo7b_provoked,organic-demo-010,arithmetic_error,,2,13,False,0
organic_demo7b_provoked,organic-demo-011,arithmetic_error,,3,11,True,2
organic_demo7b_provoked,organic-demo-012,arithmetic_error,,4,16,False,0
organic_demo7b_provoked,organic-demo-013,arithmetic_error,,2,12,False,0
organic_demo7b_provoked,organic-demo-014,other,,3,11,False,0
organic_demo7b_provoked,organic-demo-015,arithmetic_error,,1,9,False,0
organic_demo7b_provoked,organic-demo-016,hallucinated,nonderivable_total,3,15,False,0
organic_demo7b_provoked,organic-demo-017,hallucinated,nonderivable_total,2,10,False,0
organic_demo7b_provoked,organic-demo-018,arithmetic_error,,2,12,False,0
organic_demo7b_provoked,organic-demo-019,healthy,,0,12,False,0
organic_demo7b_provoked,organic-demo-020,other,,1,10,False,0
organic_demo7b_provoked,organic-demo-021,other,,3,9,False,0
organic_demo7b_provoked,organic-demo-022,hallucinated,ungrounded_input,2,12,False,0
organic_demo7b_provoked,organic-demo-023,arithmetic_error,,2,14,False,0
organic_demo7b_provoked,organic-demo-024,arithmetic_error,,0,12,True,1
organic_demo7b_provoked,organic-demo-025,arithmetic_error,,2,13,False,0
organic_demo7b_provoked,organic-demo-026,arithmetic_error,,2,11,False,0
organic_demo7b_provoked,organic-demo-027,hallucinated,weather_contradiction,1,12,True,1
organic_demo7b_provoked,organic-demo-028,arithmetic_error,,1,9,False,0
organic_demo7b_provoked,organic-demo-029,arithmetic_error,,2,12,True,1
organic_demo7b_provoked,organic-demo-030,incomplete,,1,14,False,0
organic_demo7b_provoked,organic-demo-031,hallucinated,ungrounded_input,3,11,False,0
organic_demo7b_provoked,organic-demo-032,arithmetic_error,,2,9,True,1
organic_demo7b_provoked,organic-demo-033,other,,1,7,False,0
organic_demo7b_provoked,organic-demo-034,arithmetic_error,,2,9,False,0
organic_demo7b_provoked,organic-demo-035,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-036,hallucinated,ungrounded_input,2,13,True,1
organic_demo7b_provoked,organic-demo-037,arithmetic_error,,1,8,False,0
organic_demo7b_provoked,organic-demo-038,hallucinated,nonderivable_total,1,13,False,0
organic_demo7b_provoked,organic-demo-039,incomplete,,1,13,False,0
organic_demo7b_provoked,organic-demo-040,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-041,hallucinated,nonderivable_total,2,12,True,2
organic_demo7b_provoked,organic-demo-042,hallucinated,nonderivable_total,1,12,True,1
organic_demo7b_provoked,organic-demo-043,arithmetic_error,,1,10,False,0
organic_demo7b_provoked,organic-demo-044,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-045,arithmetic_error,,2,12,False,0
organic_demo7b_provoked,organic-demo-046,arithmetic_error,,1,11,False,0
organic_demo7b_provoked,organic-demo-047,hallucinated,ungrounded_input,2,10,True,2
organic_demo7b_provoked,organic-demo-048,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-049,arithmetic_error,,3,10,False,0
organic_demo7b_provoked,organic-demo-050,hallucinated,nonderivable_total,0,4,True,1
organic_demo7b_provoked,organic-demo-051,hallucinated,nonderivable_total,5,12,True,1
organic_demo7b_provoked,organic-demo-052,other,,0,7,False,0
organic_demo7b_provoked,organic-demo-053,other,,4,11,False,0
organic_demo7b_provoked,organic-demo-054,arithmetic_error,,2,13,True,1
organic_demo7b_provoked,organic-demo-055,hallucinated,ungrounded_input,2,6,True,17
organic_demo7b_provoked,organic-demo-056,arithmetic_error,,2,14,False,0
organic_demo7b_provoked,organic-demo-057,arithmetic_error,,2,9,False,0
organic_demo7b_provoked,organic-demo-058,arithmetic_error,,2,11,False,0
organic_demo7b_provoked,organic-demo-059,arithmetic_error,,2,13,False,0
organic_demo7b_provoked,organic-demo-060,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-061,hallucinated,nonderivable_total,2,12,True,1
organic_demo7b_provoked,organic-demo-062,other,,2,12,False,0
organic_demo7b_provoked,organic-demo-063,arithmetic_error,,0,8,False,0
organic_demo7b_provoked,organic-demo-064,other,,1,6,False,0
organic_demo7b_provoked,organic-demo-065,arithmetic_error,,2,14,False,0
organic_demo7b_provoked,organic-demo-066,arithmetic_error,,1,8,True,2
organic_demo7b_provoked,organic-demo-067,arithmetic_error,,2,9,False,0
organic_demo7b_provoked,organic-demo-068,arithmetic_error,,3,12,True,1
organic_demo7b_provoked,organic-demo-069,arithmetic_error,,2,13,False,0
organic_demo7b_provoked,organic-demo-070,arithmetic_error,,1,12,True,1
organic_demo7b_provoked,organic-demo-071,other,,2,8,False,0
organic_demo7b_provoked,organic-demo-072,hallucinated,ungrounded_input,1,7,True,2
organic_demo7b_provoked,organic-demo-073,arithmetic_error,,2,12,False,0
organic_demo7b_provoked,organic-demo-074,other,,2,10,False,0
organic_demo7b_provoked,organic-demo-075,other,,0,7,False,0
organic_demo7b_provoked,organic-demo-076,arithmetic_error,,2,6,True,8
organic_demo7b_provoked,organic-demo-077,arithmetic_error,,0,8,False,0
organic_demo7b_provoked,organic-demo-078,arithmetic_error,,3,11,False,0
organic_demo7b_provoked,organic-demo-079,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-080,other,,0,10,False,0
organic_demo7b_provoked,organic-demo-081,arithmetic_error,,2,12,False,0
organic_demo7b_provoked,organic-demo-082,arithmetic_error,,3,16,False,0
organic_demo7b_provoked,organic-demo-083,arithmetic_error,,1,5,False,0
organic_demo7b_provoked,organic-demo-084,incomplete,,1,11,False,0
organic_demo7b_provoked,organic-demo-085,other,,2,4,False,0
organic_demo7b_provoked,organic-demo-086,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-087,arithmetic_error,,2,12,False,0
organic_demo7b_provoked,organic-demo-088,arithmetic_error,,2,13,False,0
organic_demo7b_provoked,organic-demo-089,hallucinated,nonderivable_total,2,12,False,0
organic_demo7b_provoked,organic-demo-090,arithmetic_error,,4,12,False,0
organic_demo7b_provoked,organic-demo-091,incomplete,,0,9,False,0
organic_demo7b_provoked,organic-demo-092,hallucinated,nonderivable_total,2,11,True,1
organic_demo7b_provoked,organic-demo-093,arithmetic_error,,0,12,False,0
organic_demo7b_provoked,organic-demo-094,other,,1,10,False,0
organic_demo7b_provoked,organic-demo-095,other,,1,7,False,0
organic_demo7b_provoked,organic-demo-096,other,,1,5,False,0
organic_demo7b_provoked,organic-demo-097,hallucinated,nonderivable_total,1,14,False,0
organic_demo7b_provoked,organic-demo-098,arithmetic_error,,2,11,True,1
organic_demo7b_provoked,organic-demo-099,arithmetic_error,,1,9,False,0
organic_demo7b_provoked,organic-demo-100,arithmetic_error,,1,10,False,0
organic_demo7b_provoked,organic-demo-101,arithmetic_error,,2,11,False,0
organic_demo7b_provoked,organic-demo-102,arithmetic_error,,3,13,True,1
organic_demo7b_provoked,organic-demo-103,arithmetic_error,,2,14,False,0
organic_demo7b_provoked,organic-demo-104,other,,0,4,False,0
organic_demo7b_provoked,organic-demo-105,arithmetic_error,,2,13,False,0
organic_demo7b_provoked,organic-demo-106,arithmetic_error,,1,13,False,0
organic_demo7b_provoked,organic-demo-107,arithmetic_error,,2,11,False,0
organic_demo7b_provoked,organic-demo-108,arithmetic_error,,1,12,False,0
organic_demo7b_provoked,organic-demo-109,hallucinated,weather_contradiction,1,12,False,0
organic_demo7b_provoked,organic-demo-110,arithmetic_error,,2,12,True,1
organic_demo7b_provoked,organic-demo-111,hallucinated,ungrounded_input,1,11,False,0
organic_demo7b_provoked,organic-demo-112,hallucinated,nonderivable_total,2,12,True,1
organic_demo7b_provoked,organic-demo-113,hallucinated,ungrounded_input,3,12,True,2
organic_demo7b_provoked,organic-demo-114,other,,0,5,False,0
organic_demo7b_provoked,organic-demo-115,incomplete,,0,9,False,0
organic_demo7b_provoked,organic-demo-116,other,,0,10,False,0
organic_demo7b_provoked,organic-demo-117,other,,0,4,False,0
organic_demo7b_provoked,organic-demo-118,arithmetic_error,,4,9,False,0
organic_demo7b_provoked,organic-demo-119,hallucinated,ungrounded_input,0,11,False,0
