dataset,episode_id,task_name,failure_class,tau,arm,checkpoint_k,checkpoint_outcome,alarm_step,checkpoint_at_start,outcome,success,error
real_task_rollback,rollback-arxiv_paper_search-tool_cascade-00,arxiv_paper_search,tool_cascade,4,primary,4,normal,4.0,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-tool_cascade-00,arxiv_paper_search,tool_cascade,4,oracle_upper_bound,4,normal,,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-tool_cascade-01,arxiv_paper_search,tool_cascade,2,primary,0,not_triggered,,False,not_triggered,,
real_task_rollback,rollback-arxiv_paper_search-tool_cascade-01,arxiv_paper_search,tool_cascade,2,oracle_upper_bound,2,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-tool_cascade-00,multi_city_weather,tool_cascade,4,primary,4,normal,6.0,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-tool_cascade-00,multi_city_weather,tool_cascade,4,oracle_upper_bound,4,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-tool_cascade-01,multi_city_weather,tool_cascade,2,primary,0,not_triggered,,False,not_triggered,,
real_task_rollback,rollback-multi_city_weather-tool_cascade-01,multi_city_weather,tool_cascade,2,oracle_upper_bound,2,normal,,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-looping-00,arxiv_paper_search,looping,2,primary,2,normal,4.0,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-looping-00,arxiv_paper_search,looping,2,oracle_upper_bound,2,normal,,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-looping-01,arxiv_paper_search,looping,3,primary,3,normal,4.0,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-looping-01,arxiv_paper_search,looping,3,oracle_upper_bound,3,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-looping-00,multi_city_weather,looping,2,primary,2,normal,4.0,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-looping-00,multi_city_weather,looping,2,oracle_upper_bound,2,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-looping-01,multi_city_weather,looping,2,primary,2,normal,4.0,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-looping-01,multi_city_weather,looping,2,oracle_upper_bound,2,normal,,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-context_corruption-00,arxiv_paper_search,context_corruption,2,primary,0,not_triggered,,False,not_triggered,,
real_task_rollback,rollback-arxiv_paper_search-context_corruption-00,arxiv_paper_search,context_corruption,2,oracle_upper_bound,2,normal,,False,still_wrong,False,
real_task_rollback,rollback-arxiv_paper_search-context_corruption-01,arxiv_paper_search,context_corruption,2,primary,7,normal,7.0,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-context_corruption-01,arxiv_paper_search,context_corruption,2,oracle_upper_bound,2,normal,,False,still_wrong,False,
real_task_rollback,rollback-multi_city_weather-context_corruption-00,multi_city_weather,context_corruption,3,primary,0,not_triggered,,False,not_triggered,,
real_task_rollback,rollback-multi_city_weather-context_corruption-00,multi_city_weather,context_corruption,3,oracle_upper_bound,3,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-context_corruption-01,multi_city_weather,context_corruption,3,primary,0,not_triggered,,False,not_triggered,,
real_task_rollback,rollback-multi_city_weather-context_corruption-01,multi_city_weather,context_corruption,3,oracle_upper_bound,3,normal,,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-wrong_document-00,arxiv_paper_search,wrong_document,3,primary,6,normal,6.0,False,still_wrong,False,
real_task_rollback,rollback-arxiv_paper_search-wrong_document-00,arxiv_paper_search,wrong_document,3,oracle_upper_bound,3,normal,,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-wrong_document-01,arxiv_paper_search,wrong_document,3,primary,11,normal,11.0,False,recovered,True,
real_task_rollback,rollback-arxiv_paper_search-wrong_document-01,arxiv_paper_search,wrong_document,3,oracle_upper_bound,3,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-wrong_document-00,multi_city_weather,wrong_document,3,primary,0,not_triggered,,False,not_triggered,,
real_task_rollback,rollback-multi_city_weather-wrong_document-00,multi_city_weather,wrong_document,3,oracle_upper_bound,3,normal,,False,recovered,True,
real_task_rollback,rollback-multi_city_weather-wrong_document-01,multi_city_weather,wrong_document,3,primary,9,normal,10.0,False,halted,False,
real_task_rollback,rollback-multi_city_weather-wrong_document-01,multi_city_weather,wrong_document,3,oracle_upper_bound,3,normal,,False,recovered,True,
