dataset,monitor,n_healthy,auroc,auroc_sd,detection_rate,healthy_fa_rate
ollama7b,delta_mahalanobis,5,0.7887,0.0416,0.5718,0.5429
ollama7b,delta_mahalanobis,10,0.8103,0.0466,0.7035,0.4
ollama7b,delta_mahalanobis,15,0.7925,0.0396,0.6282,0.1714
ollama7b,delta_mahalanobis,20,0.8345,0.0272,0.6565,0.1571
ollama7b,delta_mahalanobis,30,0.8616,0.0385,0.7247,0.2
ollama7b,delta_mahalanobis,40,0.8728,0.0194,0.6188,0.0571
ollama7b,delta_mahalanobis,50,0.8793,0.0227,0.6776,0.1571
ollama7b,delta_mahalanobis,56,0.8766,0.019,0.7106,0.1429
ollama7b,esn_cusum_max,5,0.8666,0.0789,0.8847,0.6857
ollama7b,esn_cusum_max,10,0.9086,0.1029,0.9012,0.2571
ollama7b,esn_cusum_max,15,0.9133,0.1022,0.8329,0.1429
ollama7b,esn_cusum_max,20,0.9832,0.0187,0.9835,0.1714
ollama7b,esn_cusum_max,30,0.9173,0.0934,0.7341,0.1143
ollama7b,esn_cusum_max,40,0.9936,0.0016,0.9412,0.0714
ollama7b,esn_cusum_max,50,0.9761,0.045,0.8494,0.1
ollama7b,esn_cusum_max,56,0.938,0.0817,0.8024,0.0429
ollama_llama8b,delta_mahalanobis,5,0.6042,0.1216,0.4638,0.7875
ollama_llama8b,delta_mahalanobis,10,0.6667,0.0519,0.3448,0.225
ollama_llama8b,delta_mahalanobis,15,0.707,0.0531,0.3431,0.175
ollama_llama8b,delta_mahalanobis,20,0.7754,0.0461,0.4776,0.275
ollama_llama8b,delta_mahalanobis,30,0.8305,0.0445,0.4845,0.1625
ollama_llama8b,delta_mahalanobis,40,0.8191,0.0325,0.3052,0.15
ollama_llama8b,delta_mahalanobis,50,0.8525,0.0493,0.6362,0.2
ollama_llama8b,delta_mahalanobis,61,0.8834,0.01,0.5741,0.1125
ollama_llama8b,esn_cusum_max,5,0.5794,0.1461,0.7345,0.6625
ollama_llama8b,esn_cusum_max,10,0.6181,0.103,0.5638,0.4
ollama_llama8b,esn_cusum_max,15,0.5782,0.1169,0.5483,0.375
ollama_llama8b,esn_cusum_max,20,0.7355,0.103,0.6879,0.2875
ollama_llama8b,esn_cusum_max,30,0.7744,0.1136,0.4931,0.175
ollama_llama8b,esn_cusum_max,40,0.76,0.0764,0.3121,0.1125
ollama_llama8b,esn_cusum_max,50,0.8385,0.0522,0.65,0.175
ollama_llama8b,esn_cusum_max,61,0.8566,0.0581,0.5672,0.1375
real_gemini_long,delta_mahalanobis,5,0.7228,0.0563,0.1108,0.7333
real_gemini_long,delta_mahalanobis,10,0.7595,0.0425,0.3046,0.2167
real_gemini_long,delta_mahalanobis,15,0.7197,0.0522,0.2154,0.3167
real_gemini_long,delta_mahalanobis,20,0.7474,0.0337,0.2215,0.3167
real_gemini_long,delta_mahalanobis,30,0.7826,0.0343,0.2985,0.1333
real_gemini_long,delta_mahalanobis,40,0.7854,0.0433,0.1969,0.0833
real_gemini_long,delta_mahalanobis,48,0.8092,0.0182,0.1969,0.05
real_gemini_long,esn_cusum_max,5,0.7341,0.0816,0.7908,0.6167
real_gemini_long,esn_cusum_max,10,0.75,0.038,0.7015,0.3167
real_gemini_long,esn_cusum_max,15,0.746,0.0863,0.5415,0.3167
real_gemini_long,esn_cusum_max,20,0.7187,0.0595,0.4585,0.2
real_gemini_long,esn_cusum_max,30,0.7423,0.07,0.3538,0.1333
real_gemini_long,esn_cusum_max,40,0.7736,0.0986,0.3138,0.1333
real_gemini_long,esn_cusum_max,48,0.7995,0.016,0.3754,0.1
real_research7b,delta_mahalanobis,5,0.7811,0.016,0.5146,0.475
real_research7b,delta_mahalanobis,10,0.8022,0.0189,0.4082,0.325
real_research7b,delta_mahalanobis,15,0.7857,0.0211,0.5053,0.3667
real_research7b,delta_mahalanobis,20,0.8085,0.0144,0.5614,0.1667
real_research7b,delta_mahalanobis,30,0.8157,0.0058,0.1462,0.05
real_research7b,delta_mahalanobis,40,0.8077,0.0082,0.483,0.1083
real_research7b,delta_mahalanobis,50,0.8359,0.017,0.6058,0.1
real_research7b,delta_mahalanobis,96,0.8562,0.0143,0.6269,0.0917
real_research7b,esn_cusum_max,5,0.7343,0.026,0.7357,0.5
real_research7b,esn_cusum_max,10,0.7708,0.0389,0.6643,0.3417
real_research7b,esn_cusum_max,15,0.6695,0.1446,0.2854,0.0583
real_research7b,esn_cusum_max,20,0.7433,0.038,0.648,0.2583
real_research7b,esn_cusum_max,30,0.7756,0.0236,0.3766,0.0833
real_research7b,esn_cusum_max,40,0.7792,0.0306,0.5485,0.1167
real_research7b,esn_cusum_max,50,0.762,0.0383,0.5041,0.1083
real_research7b,esn_cusum_max,96,0.8034,0.015,0.476,0.075
