monitor,fit_seconds,step_latency_us_median,step_latency_us_p95,footprint_mb,n_steps_timed
esn_full,0.736,80.7,134.5,1.89,4316
esn_single,0.121,29.7,38.7,0.24,4316
esn[e],0.635,71.8,103.3,1.65,4316
esn[u],0.515,60.0,81.4,1.12,4316
esn[m],0.53,64.5,86.1,1.18,4316
"esn[e,u]",0.701,75.6,102.0,1.74,4316
esn_cusum,0.698,80.4,101.9,1.89,4316
esn_cusum[e],0.649,72.6,97.5,1.65,4316
esn_cusum[u],0.517,88.7,110.3,1.12,4316
esn_cusum[m],0.528,63.6,85.2,1.18,4316
"esn_cusum[e,u]",0.643,75.9,104.7,1.74,4316
esn_cusum_max,1.651,219.0,266.1,3.95,4316
linear_ar,0.021,6.9,7.7,0.06,4316
gru,68.353,128.2,180.9,0.19,4316
tcn,18.852,641.7,753.5,0.18,4316
lstm,66.719,138.7,193.6,0.25,4316
cosine_drift,0.0,2.5,2.9,0.0,4316
self_drift,0.0,3.5,3.8,0.0,4316
rolling_surprisal,0.0,0.2,0.3,0.0,4316
mahalanobis,0.012,2.5,2.7,0.02,4316
delta_mahalanobis,0.024,4.0,4.7,0.06,4316
iforest,0.164,7720.0,10343.0,0.51,4316
