dataset,arm,channels,n_injected,monitor,auroc,detection_rate,healthy_fa_rate,mean_lead_all
real_research7b_long,with_logprobs,e+u+m+x,42,esn_cusum_max,0.7897,0.5714,0.1667,3.6429
real_research7b_long,with_logprobs,e+u+m+x,42,delta_mahalanobis,0.8492,0.6905,0.1667,4.1429
real_research7b_long,without_logprobs,e+m+x,42,esn_cusum_max,0.7937,0.5714,0.0,3.6429
real_research7b_long,without_logprobs,e+m+x,42,delta_mahalanobis,0.8492,0.6905,0.1667,4.1429
ollama7b,with_logprobs,e+u+m+x,85,esn_cusum_max,0.9941,0.9647,0.0,2.0588
ollama7b,with_logprobs,e+u+m+x,85,delta_mahalanobis,0.8966,0.5176,0.0,1.3059
ollama7b,without_logprobs,e+m+x,85,esn_cusum_max,0.9975,0.9882,0.0714,2.0824
ollama7b,without_logprobs,e+m+x,85,delta_mahalanobis,0.8966,0.5176,0.0,1.3059
ollama_llama8b,with_logprobs,e+u+m+x,116,esn_cusum_max,0.8847,0.7672,0.125,1.8966
ollama_llama8b,with_logprobs,e+u+m+x,116,delta_mahalanobis,0.8933,0.9224,0.3125,2.2155
ollama_llama8b,without_logprobs,e+m+x,116,esn_cusum_max,0.8949,0.75,0.0625,2.0086
ollama_llama8b,without_logprobs,e+m+x,116,delta_mahalanobis,0.8933,0.9224,0.3125,2.2155
real_research7b,with_logprobs,e+u+m+x,171,esn_cusum_max,0.7768,0.3743,0.0833,0.2398
real_research7b,with_logprobs,e+u+m+x,171,delta_mahalanobis,0.8492,0.4211,0.0417,0.8421
real_research7b,without_logprobs,e+m+x,171,esn_cusum_max,0.7602,0.3743,0.0833,0.2456
real_research7b,without_logprobs,e+m+x,171,delta_mahalanobis,0.8492,0.4211,0.0417,0.8421
