dataset,episode_id,label,tau,first_violation_step,detail
autogen,autogen-looping-000,looping,3,3,calculator returned a malformed result
autogen,autogen-looping-003,looping,3,3,calculator returned a malformed result
autogen,autogen-looping-004,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-005,looping,2,2,calculator returned a malformed result
autogen,autogen-looping-008,looping,3,3,calculator returned a malformed result
autogen,autogen-looping-009,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-011,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-012,looping,2,2,lookup_hotel returned a malformed result
autogen,autogen-looping-013,looping,3,3,lookup_hotel returned a malformed result
autogen,autogen-looping-017,looping,3,3,calculator returned a malformed result
autogen,autogen-looping-019,looping,3,3,calculator returned a malformed result
autogen,autogen-looping-020,looping,2,3,lookup_hotel returned a malformed result
autogen,autogen-looping-021,looping,3,3,lookup_hotel returned a malformed result
autogen,autogen-looping-024,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-025,looping,2,2,calculator returned a malformed result
autogen,autogen-looping-026,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-027,looping,2,3,lookup_hotel returned a malformed result
autogen,autogen-looping-028,looping,3,3,calculator returned a malformed result
autogen,autogen-looping-029,looping,2,2,calculator returned a malformed result
autogen,autogen-looping-031,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-032,looping,2,2,calculator returned a malformed result
autogen,autogen-looping-033,looping,2,2,search_catalog returned a malformed result
autogen,autogen-looping-034,looping,3,3,lookup_hotel returned a malformed result
autogen,autogen-looping-035,looping,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-000,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-001,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-002,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-003,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-004,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-005,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-008,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-010,context_corruption,2,2,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-011,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-012,context_corruption,3,3,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-013,context_corruption,2,3,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-014,context_corruption,2,3,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-015,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-016,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-017,context_corruption,3,3,calculator returned a malformed result
autogen,autogen-context_corruption-019,context_corruption,3,3,calculator returned a malformed result
autogen,autogen-context_corruption-020,context_corruption,3,3,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-021,context_corruption,3,3,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-023,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-024,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-025,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-026,context_corruption,3,3,calculator returned a malformed result
autogen,autogen-context_corruption-027,context_corruption,2,2,lookup_hotel returned a malformed result
autogen,autogen-context_corruption-028,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-029,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-030,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-031,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-032,context_corruption,2,2,calculator returned a malformed result
autogen,autogen-context_corruption-033,context_corruption,2,2,search_catalog returned a malformed result
autogen,autogen-context_corruption-034,context_corruption,2,3,lookup_hotel returned a malformed result
autogen7b,autogen-looping-000,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-001,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-002,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-003,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-004,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-005,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-006,looping,3,3,lookup_flight returned a malformed result
autogen7b,autogen-looping-007,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-008,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-009,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-011,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-012,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-013,looping,3,3,lookup_hotel returned a malformed result
autogen7b,autogen-looping-014,looping,2,3,lookup_hotel returned a malformed result
autogen7b,autogen-looping-015,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-016,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-017,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-018,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-019,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-020,looping,2,4,lookup_hotel returned a malformed result
autogen7b,autogen-looping-021,looping,3,3,lookup_hotel returned a malformed result
autogen7b,autogen-looping-022,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-023,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-024,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-025,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-026,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-027,looping,2,3,lookup_hotel returned a malformed result
autogen7b,autogen-looping-028,looping,3,3,calculator returned a malformed result
autogen7b,autogen-looping-029,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-030,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-031,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-032,looping,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-looping-033,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-looping-034,looping,3,3,lookup_hotel returned a malformed result
autogen7b,autogen-looping-035,looping,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-000,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-001,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-002,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-003,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-004,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-005,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-007,context_corruption,3,3,calculator returned a malformed result
autogen7b,autogen-context_corruption-008,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-009,context_corruption,3,3,calculator returned a malformed result
autogen7b,autogen-context_corruption-010,context_corruption,2,2,lookup_flight returned a malformed result
autogen7b,autogen-context_corruption-011,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-012,context_corruption,3,4,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-013,context_corruption,2,3,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-014,context_corruption,2,3,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-015,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-016,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-017,context_corruption,3,3,calculator returned a malformed result
autogen7b,autogen-context_corruption-018,context_corruption,3,3,calculator returned a malformed result
autogen7b,autogen-context_corruption-019,context_corruption,3,3,calculator returned a malformed result
autogen7b,autogen-context_corruption-021,context_corruption,3,3,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-022,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-023,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-024,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-025,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-026,context_corruption,3,3,calculator returned a malformed result
autogen7b,autogen-context_corruption-027,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-028,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-029,context_corruption,2,2,calculator returned a malformed result
autogen7b,autogen-context_corruption-030,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-031,context_corruption,2,2,search_catalog returned a malformed result
autogen7b,autogen-context_corruption-032,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-034,context_corruption,2,2,lookup_hotel returned a malformed result
autogen7b,autogen-context_corruption-035,context_corruption,3,3,calculator returned a malformed result
langgraph,langgraph-looping-006,looping,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-looping-008,looping,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-looping-011,looping,2,3,lookup_hotel returned a malformed result
langgraph,langgraph-looping-015,looping,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-looping-018,looping,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-looping-019,looping,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-looping-020,looping,3,3,calculator returned a malformed result
langgraph,langgraph-looping-021,looping,2,4,lookup_hotel returned a malformed result
langgraph,langgraph-looping-024,looping,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-looping-028,looping,3,3,calculator returned a malformed result
langgraph,langgraph-looping-031,looping,2,2,lookup_flight returned a malformed result
langgraph,langgraph-looping-032,looping,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-looping-033,looping,2,2,lookup_flight returned a malformed result
langgraph,langgraph-context_corruption-004,context_corruption,2,2,search_catalog returned a malformed result
langgraph,langgraph-context_corruption-005,context_corruption,3,3,calculator returned a malformed result
langgraph,langgraph-context_corruption-006,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-008,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-011,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-013,context_corruption,2,2,search_catalog returned a malformed result
langgraph,langgraph-context_corruption-014,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-018,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-020,context_corruption,3,3,calculator returned a malformed result
langgraph,langgraph-context_corruption-021,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-022,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-025,context_corruption,3,3,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-026,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-029,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-032,context_corruption,2,2,lookup_hotel returned a malformed result
langgraph,langgraph-context_corruption-033,context_corruption,2,2,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-000,looping,3,3,lookup_flight returned a malformed result
langgraph7b,langgraph-looping-001,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-002,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-003,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-004,looping,3,3,calculator returned a malformed result
langgraph7b,langgraph-looping-005,looping,3,3,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-006,looping,2,2,lookup_hotel returned a malformed result
langgraph7b,langgraph-looping-007,looping,2,2,lookup_hotel returned a malformed result
