dataset,episode_id,label,total_consistency,required_coverage
organic_demo7b_provoked,organic-demo-000,other,True,False
organic_demo7b_provoked,organic-demo-001,hallucinated,False,True
organic_demo7b_provoked,organic-demo-002,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-003,hallucinated,True,True
organic_demo7b_provoked,organic-demo-004,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-005,incomplete,False,False
organic_demo7b_provoked,organic-demo-006,incomplete,False,True
organic_demo7b_provoked,organic-demo-007,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-008,hallucinated,True,True
organic_demo7b_provoked,organic-demo-009,healthy,False,False
organic_demo7b_provoked,organic-demo-010,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-011,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-012,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-013,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-014,other,True,True
organic_demo7b_provoked,organic-demo-015,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-016,hallucinated,True,True
organic_demo7b_provoked,organic-demo-017,hallucinated,True,True
organic_demo7b_provoked,organic-demo-018,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-019,healthy,False,False
organic_demo7b_provoked,organic-demo-020,other,True,True
organic_demo7b_provoked,organic-demo-021,other,True,True
organic_demo7b_provoked,organic-demo-022,hallucinated,True,True
organic_demo7b_provoked,organic-demo-023,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-024,arithmetic_error,True,False
organic_demo7b_provoked,organic-demo-025,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-026,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-027,hallucinated,True,True
organic_demo7b_provoked,organic-demo-028,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-029,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-030,incomplete,False,False
organic_demo7b_provoked,organic-demo-031,hallucinated,False,True
organic_demo7b_provoked,organic-demo-032,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-033,other,True,True
organic_demo7b_provoked,organic-demo-034,arithmetic_error,True,True
organic_demo7b_provoked,organic-demo-035,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-036,hallucinated,True,True
organic_demo7b_provoked,organic-demo-037,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-038,hallucinated,True,False
organic_demo7b_provoked,organic-demo-039,incomplete,False,False
organic_demo7b_provoked,organic-demo-040,arithmetic_error,False,True
organic_demo7b_provoked,organic-demo-041,hallucinated,True,True
organic_demo7b_provoked,organic-demo-042,hallucinated,True,True
